secteur,intersection,approche,direction_circulation,debit_total_24h,pourcentage_vehicules_lourds,annee
Hull,Thérien / d'Orsonnens,Est,Ouest,900,37.1,2016
Hull,Thérien / d'Orsonnens,Est,Est,900,37.1,2016
Hull,Thérien / d'Orsonnens,Ouest,Est,1300,54.4,2016
Hull,Thérien / d'Orsonnens,Ouest,Ouest,1300,54.4,2016
Gatineau,St-Louis / Jacques-Cartier,Est,Ouest,11600,0,2016
Gatineau,St-Louis / Jacques-Cartier,Est,Est,11600,0,2016
Gatineau,St-Louis / Jacques-Cartier,Sud,Nord,5400,0,2016
Gatineau,St-Louis / Jacques-Cartier,Sud,Sud,5400,0,2016
Gatineau,St-Louis / Jacques-Cartier,Ouest,Est,7500,0,2016
Gatineau,St-Louis / Jacques-Cartier,Ouest,Ouest,7500,0,2016
Gatineau,St-Antoine / Bruyère,Nord,Sud,400,0,2016
Gatineau,St-Antoine / Bruyère,Nord,Nord,400,0,2016
Gatineau,St-Antoine / Bruyère,Sud,Nord,200,0,2016
Gatineau,St-Antoine / Bruyère,Sud,Sud,200,0,2016
Gatineau,St-Antoine / Bruyère,Ouest,Est,200,0,2016
Gatineau,St-Antoine / Bruyère,Ouest,Ouest,200,0,2016
Gatineau,Davidson / Desforges,Nord,Sud,700,0,2016
Gatineau,Davidson / Desforges,Nord,Nord,700,0,2016
Gatineau,Davidson / Desforges,Est,Ouest,5700,0,2016
Gatineau,Davidson / Desforges,Est,Est,5700,0,2016
Gatineau,Davidson / Desforges,Sud,Nord,100,0,2016
Gatineau,Davidson / Desforges,Sud,Sud,100,0,2016
Gatineau,Davidson / Desforges,Ouest,Sud,5900,0,2016
Gatineau,Davidson / Desforges,Ouest,Ouest,5900,0,2016
Gatineau,Avenue Gatineau,Nord,Sud,1730,0,2016
Gatineau,Avenue Gatineau,Sud,Nord,1910,0,2016
Gatineau,Labrosse / Notre-Dame,Nord,Sud,4100,0,2016
Gatineau,Labrosse / Notre-Dame,Nord,Nord,4100,0,2016
Gatineau,Labrosse / Notre-Dame,Est,Ouest,6100,0,2016
Gatineau,Labrosse / Notre-Dame,Est,Est,6100,0,2016
Gatineau,Labrosse / Notre-Dame,Sud,Nord,1700,0,2016
Gatineau,Labrosse / Notre-Dame,Sud,Sud,1700,0,2016
Gatineau,Labrosse / Notre-Dame,Ouest,Est,7300,0,2016
Gatineau,Labrosse / Notre-Dame,Ouest,Ouest,7300,0,2016
Gatineau,Notre-Dame / Brian,Nord,Sud,1000,0,2016
Gatineau,Notre-Dame / Brian,Nord,Nord,1000,0,2016
Gatineau,Notre-Dame / Brian,Est,Ouest,7600,0,2016
Gatineau,Notre-Dame / Brian,Est,Est,7600,0,2016
Gatineau,Notre-Dame / Brian,Ouest,Est,7900,0,2016
Gatineau,Notre-Dame / Brian,Ouest,Ouest,7900,0,2016
Gatineau,Napoléon-Groulx / Notre-Dame,Nord,Sud,500,0,2016
Gatineau,Napoléon-Groulx / Notre-Dame,Nord,Nord,500,0,2016
Gatineau,Napoléon-Groulx / Notre-Dame,Est,Ouest,7100,0,2016
Gatineau,Napoléon-Groulx / Notre-Dame,Est,Est,7100,0,2016
Gatineau,Napoléon-Groulx / Notre-Dame,Sud,Nord,500,0,2016
Gatineau,Napoléon-Groulx / Notre-Dame,Sud,Sud,500,0,2016
Gatineau,Napoléon-Groulx / Notre-Dame,Ouest,Est,7100,0,2016
Gatineau,Napoléon-Groulx / Notre-Dame,Ouest,Est,7100,0,2016
Gatineau,Davidson Est / Passerelle 448-451,Est,Est,3700,0,2016
Gatineau,Davidson Est / Passerelle 448-451,Est,Est,3700,0,2016
Gatineau,Davidson Est / Passerelle 448-451,Ouest,Est,3700,0,2016
Gatineau,Davidson Est / Passerelle 448-451,Ouest,Ouest,3700,0,2016
Gatineau,Maloney Est / Brian,Nord,Sud,6400,0,2016
Gatineau,Maloney Est / Brian,Nord,Nord,6400,0,2016
Gatineau,Maloney Est / Brian,Est,Ouest,29700,0,2016
Gatineau,Maloney Est / Brian,Est,Est,29700,0,2016
Gatineau,Maloney Est / Brian,Sud,Nord,2800,0,2016
Gatineau,Maloney Est / Brian,Sud,Sud,2800,0,2016
Gatineau,Maloney Est / Brian,Ouest,Est,29300,0,2016
Gatineau,Maloney Est / Brian,Ouest,Ouest,29300,0,2016
Gatineau,Maloney Ouest / Oak,Nord,Sud,1900,0,2016
Gatineau,Maloney Ouest / Oak,Nord,Nord,1900,0,2016
Gatineau,Maloney Ouest / Oak,Est,Ouest,37100,0,2016
Gatineau,Maloney Ouest / Oak,Est,Est,37100,0,2016
Gatineau,Maloney Ouest / Oak,Sud,Nord,300,0,2016
Gatineau,Maloney Ouest / Oak,Sud,Sud,300,0,2016
Gatineau,Maloney Ouest / Oak,Ouest,Est,38500,0,2016
Gatineau,Maloney Ouest / Oak,Ouest,Ouest,38500,0,2016
Gatineau,Maloney Ouest / Saint-Louis,Nord,Sud,4300,0,2016
Gatineau,Maloney Ouest / Saint-Louis,Nord,Nord,4300,0,2016
Gatineau,Maloney Ouest / Saint-Louis,Est,Ouest,39600,0,2016
Gatineau,Maloney Ouest / Saint-Louis,Est,Est,39600,0,2016
Gatineau,Maloney Ouest / Saint-Louis,Sud,Nord,12600,0,2016
Gatineau,Maloney Ouest / Saint-Louis,Sud,Sud,12600,0,2016
Gatineau,Maloney Ouest / Saint-Louis,Ouest,Est,30200,0,2016
Gatineau,Maloney Ouest / Saint-Louis,Ouest,Ouest,30200,0,2016
Gatineau,Maloney / Napoléon-Groulx,Nord,Sud,1300,0,2016
Gatineau,Maloney / Napoléon-Groulx,Nord,Nord,1300,0,2016
Gatineau,Maloney / Napoléon-Groulx,Est,Ouest,30000,0,2016
Gatineau,Maloney / Napoléon-Groulx,Est,Est,30000,0,2016
Gatineau,Maloney / Napoléon-Groulx,Sud,Nord,1100,0,2016
Gatineau,Maloney / Napoléon-Groulx,Sud,Sud,1100,0,2016
Gatineau,Maloney / Napoléon-Groulx,Ouest,Est,30200,0,2016
Gatineau,Maloney / Napoléon-Groulx,Ouest,Ouest,30200,0,2016
Gatineau,Cité/Super C,Nord,Sud,12700,0,2016
Gatineau,Cité/Super C,Nord,Nord,12700,0,2016
Gatineau,Cité/Super C,Est,Ouest,5200,0,2016
Gatineau,Cité/Super C,Est,Est,5200,0,2016
Gatineau,Cité/Super C,Sud,Nord,10900,0,2016
Gatineau,Cité/Super C,Sud,Sud,10900,0,2016
Gatineau,Cité/Super C,Ouest,Est,1500,0,2016
Gatineau,Cité/Super C,Ouest,Ouest,1500,0,2016
Gatineau,La Vérendrye Est / Candiac,Nord,Sud,1800,0,2016
Gatineau,La Vérendrye Est / Candiac,Nord,Nord,1800,0,2016
Gatineau,La Vérendrye Est / Candiac,Est,Ouest,4500,0,2016
Gatineau,La Vérendrye Est / Candiac,Est,Est,4500,0,2016
Gatineau,La Vérendrye Est / Candiac,Sud,Nord,600,0,2016
Gatineau,La Vérendrye Est / Candiac,Sud,Sud,600,0,2016
Gatineau,La Vérendrye Est / Candiac,Ouest,Est,6300,0,2016
Gatineau,La Vérendrye Est / Candiac,Ouest,Ouest,6300,0,2016
Gatineau, Labrosse / Géraniums,Nord,Sud,13500,0,2016
Gatineau, Labrosse / Géraniums,Nord,Nord,13500,0,2016
Gatineau, Labrosse / Géraniums,Est,Ouest,100,0,2016
Gatineau, Labrosse / Géraniums,Est,Est,100,0,2016
Gatineau, Labrosse / Géraniums,Sud,Nord,13600,0,2016
Gatineau, Labrosse / Géraniums,Sud,Sud,13600,0,2016
Gatineau, Labrosse / Géraniums,Ouest,Est,200,0,2016
Gatineau, Labrosse / Géraniums,Ouest,Ouest,200,0,2016
Buckingham,Dollard / Thibault,Nord,Sud,4000,0,2016
Buckingham,Dollard / Thibault,Nord,Nord,4000,0,2016
Buckingham,Dollard / Thibault,Est,Ouest,0,0,2016
Buckingham,Dollard / Thibault,Est,Est,0,0,2016
Buckingham,Dollard / Thibault,Sud,Nord,4200,0,2016
Hull,Chevalier-de-Rouville / Labelle,Est,Ouest,700,10.9,2017
Hull,Chevalier-de-Rouville / Labelle,Nord,Sud,700,4,2017
Aylmer,Verger,Est,Ouest,2100,4.1,2017
Aylmer,Verger,Ouest,Est,2100,4.1,2017
Aylmer,Riesling,Est,Ouest,1200,10.2,2017
Aylmer,Riesling,Ouest,Est,1200,10.2,2017
Hull,Brise,Est,Ouest,400,11.2,2017
Hull,Brise,Ouest,Est,400,11.2,2017
Aylmer,Grands-Châteaux,Est,Ouest,800,6.7,2017
Aylmer,Grands-Châteaux,Ouest,Est,800,6.7,2017
Gatineau,Rayol,Est,Ouest,700,6.4,2017
Gatineau,Rayol,Ouest,Est,700,6.4,2017
Gatineau,Max,Ouest,Est,900,7.5,2017
Gatineau,Max,Est,Ouest,900,7.5,2017
Hull,Dôme,Est,Ouest,1500,4,2017
Hull,Dôme,Sud,Nord,1500,4,2017
Gatineau,Montebello,Ouest,Est,500,11.2,2017
Gatineau,Montebello,Est,Ouest,500,11.2,2017
Aylmer,Prado,Nord,Sud,2000,5.5,2017
Aylmer,Prado,Sud,Nord,2000,5.5,2017
Gatineau,Grands-Jardins,Ouest,Est,1500,12.1,2017
Gatineau,Grands-Jardins,Est,Ouest,1500,12.1,2017
Aylmer,Lobo,Sud,Nord,100,13.8,2017
Aylmer,Lobo,Nord,Sud,100,13.8,2017
Aylmer,Spartan,Nord,Sud,1100,6.6,2017
Aylmer,Spartan,Sud,Nord,1100,6.6,2017
Aylmer,Beaux-Arts,Ouest,Est,600,3.6,2017
Aylmer,Beaux-Arts,Est,Ouest,600,3.6,2017
Hull,Alizés,Ouest,Est,500,6.4,2017
Hull,Alizés,Est,Ouest,500,6.4,2017
Aylmer,Colline,Est,Ouest,1600,5,2017
Aylmer,Colline,Ouest,Est,1600,5,2017
Aylmer,Carcajou,Sud,Nord,200,2.7,2017
Aylmer,Carcajou,Nord,Sud,200,2.7,2017
Aylmer,Golf,Sud,Nord,600,17.2,2017
Aylmer,Golf,Nord,Sud,600,17.2,2017
Aylmer,Fabrique,Est,Ouest,800,5.2,2017
Aylmer,Fabrique,Ouest,Est,800,5.2,2017
Aylmer,Beaulac,Est,Ouest,1300,13.3,2017
Aylmer,Beaulac,Ouest,Est,1300,13.3,2017
Aylmer,Montagnais,Sud,Nord,700,5.1,2017
Aylmer,Montagnais,Nord,Sud,700,5.1,2017
Gatineau,Savane,Est,Ouest,5600,8.7,2017
Gatineau,Savane,Ouest,Est,5600,8.7,2017
Aylmer,Jockey,Est,Ouest,300,13.2,2017
Aylmer,Jockey,Ouest,Est,300,13.2,2017
Gatineau,Jules-Verne,Sud,Nord,1400,7.2,2017
Gatineau,Jules-Verne,Nord,Sud,1400,7.2,2017
Hull,Doucet,Est,Ouest,900,3.1,2017
Hull,Doucet,Ouest,Est,900,3.1,2017
Gatineau,Vianney,Ouest,Est,700,9.9,2017
Gatineau,Vianney,Est,Ouest,700,3.9,2017
Gatineau,Saint-René Est,Nord,Sud,3000,5.1,2017
Gatineau,Saint-René Est,Sud,Nord,3000,5.1,2017
Hull,Brady,Ouest,Est,200,6.7,2017
Hull,Brady,Est,Ouest,200,6.7,2017
Hull,Boucher,Nord,Sud,100,0,2017
Hull,Boucher,Sud,Nord,100,0,2017
Gatineau,Drave,Ouest,Est,2200,10.3,2017
Gatineau,Drave,Est,Ouest,2200,10.3,2017
Hull,Isabelle,Est,Ouest,6400,7.4,2017
Hull,Isabelle,Ouest,Est,6400,7.4,2017
Aylmer,John-Egan,Nord,Sud,800,7.7,2017
Aylmer,John-Egan,Sud,Nord,800,7.7,2017
Hull,Fréchette / Genest,Ouest,Est,500,5,2017
Hull,Fréchette / Genest,Est,Ouest,500,5,2017
Aylmer,Marigot,Sud,Nord,200,7.2,2017
Aylmer,Marigot,Nord,Sud,200,7.2,2017
Aylmer,Frank-Lynch,Ouest,Est,100,13.9,2017
Aylmer,Frank-Lynch,Est,Ouest,100,13.9,2017
Aylmer,Wilfrid-Lavigne,Sud,Nord,3400,7.7,2017
Aylmer,Wilfrid-Lavigne,Nord,Sud,3400,7.7,2017
Aylmer,Artisans,Sud,Nord,600,8,2017
Aylmer,Artisans,Nord,Sud,600,8,2017
Gatineau,Jeannine-Grégoire-Ross,Ouest,Est,700,9,2017
Gatineau,Jeannine-Grégoire-Ross,Est,Ouest,700,9,2017
Gatineau,Jeannine-Grégoire-Ross,Ouest,Est,500,9.7,2017
Gatineau,Jeannine-Grégoire-Ross,Est,Ouest,500,9.7,2017
Gatineau,Batiscan,Sud,Nord,300,7.3,2017
Gatineau,Batiscan,Nord,Sud,300,7.3,2017
Gatineau,Saint-Vallier,Ouest,Est,700,3.7,2017
Gatineau,Saint-Vallier,Est,Ouest,700,3.7,2017
Gatineau,Baie,Sud,Nord,1100,5.4,2017
Gatineau,Baie,Nord,Sud,1100,5.4,2017
Buckingham,Brewer,Sud,Nord,1200,6.8,2017
Buckingham,Brewer,Nord,Sud,1200,6.8,2017
Buckingham,MacLaren Est,Nord,Sud,5400,9.3,2017
Buckingham,MacLaren Est,Sud,Nord,5400,9.3,2017
Masson-Angers,Grandpré,Ouest,Est,200,7,2017
Masson-Angers,Grandpré,Est,Ouest,200,7,2017
Masson-Angers,Fer-à-Cheval,Ouest,Est,800,15.1,2017
Masson-Angers,Fer-à-Cheval,Est,Ouest,800,15.1,2017
Hull,Montpetit,Sud,Nord,500,3.3,2017
Aylmer,Golf,Nord,Sud,1600,11.8,2017
Aylmer,Golf,Sud,Nord,1600,11.8,2017
Aylmer,Cochrane,Sud,Nord,300,11.9,2017
Aylmer,Cochrane,Nord,Sud,300,11.9,2017
Gatineau,Gouin,Est,Ouest,1100,3,2017
Gatineau,Gouin,Ouest,Est,1100,3,2017
Gatineau,Lusignan,Sud,Nord,300,10.7,2017
Gatineau,Lusignan,Nord,Sud,300,10.7,2017
Gatineau,Monseigneur-Forbes,Ouest,Est,600,8.1,2017
Gatineau,Monseigneur-Forbes,Est,Ouest,600,8.1,2017
Gatineau,Nilphas-Richer,Nord,Sud,1900,7.8,2017
Gatineau,Nilphas-Richer,Sud,Nord,1900,7.8,2017
Gatineau,Cousineau,Nord,Sud,600,8,2017
Gatineau,Cousineau,Sud,Nord,600,8,2017
Gatineau,Généreux,Ouest,Est,200,2.5,2017
Gatineau,Généreux,Est,Ouest,200,2.5,2017
Gatineau,Saint-René Est,Sud,Nord,5600,5.6,2017
Gatineau,Saint-René Est,Nord,Sud,5600,5.6,2017
Gatineau,Sauternes,Nord,Sud,700,4.7,2017
Gatineau,Sauternes,Sud,Nord,700,4.7,2017
Gatineau,Desforges / Chalifoux,Sud,Nord,400,14.2,2017
Gatineau,Desforges / Chalifoux,Nord,Sud,400,14.2,2017
Gatineau,Mont-Fleuri / Larcher,Ouest,Est,300,7.1,2017
Gatineau,Mont-Fleuri / Larcher,Est,Ouest,300,7.1,2017
Gatineau,James-Murray / Poplar,Ouest,Est,400,2.6,2017
Gatineau,James-Murray / Poplar,Est,Ouest,400,2.6,2017
Gatineau,Gréber / Musée,Ouest,Est,5500,4.7,2017
Gatineau,Gréber / Musée,Est,Ouest,5500,4.7,2017
Gatineau,Gréber / Musée,Sud,Nord,300,10.9,2017
Hull,Joffre,Nord,Sud,300,5.2,2017
Hull,Jonquilles,Est,Ouest,1000,10.5,2017
Hull,Jonquilles,Ouest,Est,1000,10.5,2017
Aylmer,Maurice-Duplessis / Jules-Léger,Ouest,Est,900,2.1,2017
Aylmer,Maurice-Duplessis / Jules-Léger,Est,Ouest,900,2.1,2017
Hull,Berri / Jeanne-d'Arc,Nord,Sud,2500,9.3,2017
Hull,Berri / Jeanne-d'Arc,Sud,Nord,2500,9.3,2017
Aylmer,Bourgeau Sud,Nord,Sud,200,6.1,2017
Aylmer,Bourgeau Sud,Sud,Nord,200,6.1,2017
Hull,Lessard,Ouest,Est,200,2.8,2017
Hull,Lessard,Est,Ouest,200,2.8,2017
Gatineau,Potvin,Sud,Nord,100,9.6,2017
Gatineau,Potvin,Nord,Sud,100,9.6,2017
Buckingham,Brewer,Sud,Nord,900,12,2017
Buckingham,Brewer,Nord,Sud,900,12,2017
Gatineau,Orléans,Est,Ouest,1800,12.7,2017
Gatineau,Orléans,Ouest,Est,1800,12.7,2017
Gatineau,Oak,Nord,Sud,600,8.5,2017
Gatineau,Oak,Sud,Nord,600,8.5,2017
Gatineau,Oasis,Est,Ouest,1200,12,2017
Gatineau,Oasis,Ouest,Est,1200,12,2017
Aylmer,Nébuleuse,Sud,Nord,400,2.8,2017
Aylmer,Nébuleuse,Nord,Sud,400,2.8,2017
Aylmer,Parker,Sud,Nord,500,5.8,2017
Aylmer,Parker,Nord,Sud,500,5.8,2017
Hull,Montpetit,Sud,Nord,400,4.5,2017
Aylmer,McConnell,Ouest,Est,900,7,2017
Aylmer,McConnell,Est,Ouest,900,7,2017
Gatineau,Dalton / Sous-Bois,Nord,Sud,1000,7.8,2018
Gatineau,Dalton / Sous-Bois,Nord,Nord,1000,7.8,2018
Gatineau,Dalton / Sous-Bois,Est,Ouest,1000,10.1,2018
Gatineau,Dalton / Sous-Bois,Est,Est,1000,10.1,2018
Gatineau,Dalton / Sous-Bois,Sud,Nord,1700,10.8,2018
Gatineau,Dalton / Sous-Bois,Sud,Sud,1700,10.8,2018
Aylmer,Chemin d'Aylmer / Rivermead,Nord,Sud,2400,4.8,2018
Aylmer,Chemin d'Aylmer / Rivermead,Nord,Nord,2400,4.8,2018
Aylmer,Chemin d'Aylmer / Rivermead,Est,Ouest,10700,29.3,2018
Aylmer,Chemin d'Aylmer / Rivermead,Est,Est,10700,29.3,2018
Aylmer,Chemin d'Aylmer / Rivermead,Sud,Nord,2600,14.2,2018
Aylmer,Chemin d'Aylmer / Rivermead,Sud,Sud,2600,14.2,2018
Aylmer,Chemin d'Aylmer / Rivermead,Ouest,Est,11000,27.5,2018
Aylmer,Chemin d'Aylmer / Rivermead,Ouest,Ouest,11000,27.5,2018
Hull,Laurier / Victoria,Nord,Sud,13200,4.6,2018
Hull,Laurier / Victoria,Nord,Nord,13200,4.6,2018
Hull,Laurier / Victoria,Est,Ouest,0,0.2,2018
Hull,Laurier / Victoria,Est,Est,0,0.2,2018
Hull,Laurier / Victoria,Sud,Nord,13200,4.7,2018
Hull,Laurier / Victoria,Sud,Sud,13200,4.7,2018
Hull,Laurier / Victoria,Ouest,Est,3900,0.4,2018
Hull,Laurier / Victoria,Ouest,Ouest,3900,0.4,2018
Hull,Laurier / Elisabeth-Bruyère,Nord,Sud,13500,4.7,2018
Hull,Laurier / Elisabeth-Bruyère,Nord,Nord,13500,0.7,2018
Hull,Laurier / Elisabeth-Bruyère,Est,Ouest,600,0.1,2018
Hull,Laurier / Elisabeth-Bruyère,Est,Est,600,0.1,2018
Hull,Laurier / Elisabeth-Bruyère,Sud,Nord,13100,4.6,2018
Hull,Laurier / Elisabeth-Bruyère,Sud,Sud,13100,4.6,2018
Hull,Laurier / Elisabeth-Bruyère,Ouest,Est,400,0.2,2018
Hull,Laurier / Elisabeth-Bruyère,Ouest,Ouest,400,0.2,2018
Hull,Laurier / Allumettières,Nord,Sud,9600,3.6,2018
Hull,Laurier / Allumettières,Nord,Nord,9600,3.6,2018
Hull,Laurier / Allumettières,Est,Ouest,15500,2.3,2018
Hull,Laurier / Allumettières,Est,Est,15500,2.3,2018
Hull,Laurier / Allumettières,Sud,Nord,13600,6.5,2018
Hull,Laurier / Allumettières,Sud,Sud,13600,6.5,2018
Hull,Laurier / Allumettières,Ouest,Est,12000,7.7,2018
Hull,Laurier / Allumettières,Ouest,Ouest,12000,7.7,2018
Hull,Promenade du Portage / Alexandre-Taché,Nord,Sud,2700,44.8,2018
Hull,Promenade du Portage / Alexandre-Taché,Nord,Nord,2700,44.8,2018
Hull,Promenade du Portage / Alexandre-Taché,Est,Ouest,24600,38,2018
Hull,Promenade du Portage / Alexandre-Taché,Est,Est,24600,38,2018
Hull,Promenade du Portage / Alexandre-Taché,Ouest,Est,26000,56.7,2018
Hull,Promenade du Portage / Alexandre-Taché,Ouest,Ouest,26000,56.7,2018
Hull,Alexandre-Taché / Eddy,Nord,Sud,4700,10.6,2018
Hull,Alexandre-Taché / Eddy,Nord,Nord,4700,10.6,2018
Hull,Alexandre-Taché / Eddy,Est,Ouest,14800,18.9,2018
Hull,Alexandre-Taché / Eddy,Est,Est,14800,18.9,2018
Hull,Alexandre-Taché / Eddy,Sud,Nord,25800,24.1,2018
Hull,Alexandre-Taché / Eddy,Sud,Sud,25800,24.1,2018
Hull,Alexandre-Taché / Eddy,Ouest,Est,24600,22.3,2018
Hull,Alexandre-Taché / Eddy,Ouest,Ouest,24600,22.3,2018
Hull,Laval / Laurier / Jos-Montferrand,Nord,Sud,5300,3.1,2018
Hull,Laval / Laurier / Jos-Montferrand,Nord,Nord,0,3.1,2018
Hull,Laval / Laurier / Jos-Montferrand,Est,Ouest,16600,19.9,2018
Hull,Laval / Laurier / Jos-Montferrand,Est,Est,16600,19.9,2018
Hull,Laval / Laurier / Jos-Montferrand,Sud,Nord,1600,4.4,2018
Hull,Laval / Laurier / Jos-Montferrand,Sud,Sud,1600,4.4,2018
Hull,Laval / Laurier / Jos-Montferrand,Ouest,Est,14000,16.8,2018
Hull,Laval / Laurier / Jos-Montferrand,Ouest,Ouest,14000,16.8,2018
Hull,Alexandre-Taché / Montcalm,Nord,Sud,17700,4.7,2018
Hull,Alexandre-Taché / Montcalm,Nord,Nord,17700,4.7,2018
Hull,Alexandre-Taché / Montcalm,Est,Ouest,26000,8.8,2018
Hull,Alexandre-Taché / Montcalm,Est,Est,26000,8.8,2018
Hull,Alexandre-Taché / Montcalm,Sud,Nord,0,0,2018
Hull,Alexandre-Taché / Montcalm,Sud,Sud,0,0,2018
Hull,Alexandre-Taché / Montcalm,Ouest,Est,12300,4.5,2018
Hull,Alexandre-Taché / Montcalm,Ouest,Ouest,12300,4.5,2018
Gatineau,Saint-René Est / Willard / Raymond,Nord,Sud,100,6.7,2018
Gatineau,Saint-René Est / Willard / Raymond,Nord,Nord,100,6.7,2018
Gatineau,Saint-René Est / Willard / Raymond,Est,Ouest,10000,244,2018
Gatineau,Saint-René Est / Willard / Raymond,Est,Est,10000,244,2018
Gatineau,Saint-René Est / Willard / Raymond,Sud,Nord,1200,45.3,2018
Gatineau,Saint-René Est / Willard / Raymond,Sud,Sud,1200,45.3,2018
Gatineau,Saint-René Est / Willard / Raymond,Ouest,Est,9600,189.3,2018
Gatineau,Saint-René Est / Willard / Raymond,Ouest,Ouest,9600,189.3,2018
Aylmer,Allumettières / Vanier,Nord,Sud,15800,4.6,2018
Aylmer,Allumettières / Vanier,Nord,Nord,15800,4.6,2018
Aylmer,Allumettières / Vanier,Est,Ouest,35800,2.5,2018
Aylmer,Allumettières / Vanier,Est,Est,35800,2.5,2018
Aylmer,Allumettières / Vanier,Sud,Nord,23300,2.9,2018
Aylmer,Allumettières / Vanier,Sud,Sud,23300,2.9,2018
Aylmer,Allumettières / Vanier,Ouest,Est,30800,3.2,2018
Aylmer,Allumettières / Vanier,Ouest,Ouest,30800,3.2,2018
Aylmer,Atmosphère / Nébuleuse,Nord,Sud,600,1.7,2018
Aylmer,Atmosphère / Nébuleuse,Nord,Nord,600,1.7,2018
Aylmer,Atmosphère / Nébuleuse,Est,Ouest,3200,33.4,2018
Aylmer,Atmosphère / Nébuleuse,Est,Est,3200,33.4,2018
Aylmer,Atmosphère / Nébuleuse,Sud,Nord,300,0.9,2018
Aylmer,Atmosphère / Nébuleuse,Sud,Sud,300,0.9,2018
Aylmer,Atmosphère / Nébuleuse,Ouest,Est,2900,30.6,2018
Aylmer,Atmosphère / Nébuleuse,Ouest,Ouest,2900,30.6,2018
Hull,Atmosphère / Été / Printemps,Nord,Sud,100,3.3,2018
Hull,Atmosphère / Été / Printemps,Nord,Nord,100,3.3,2018
Hull,Atmosphère / Été / Printemps,Est,Ouest,3100,185,2018
Hull,Atmosphère / Été / Printemps,Est,Est,3100,185,2018
Hull,Atmosphère / Été / Printemps,Sud,Nord,100,0,2018
Hull,Atmosphère / Été / Printemps,Sud,Sud,100,0,2018
Hull,Atmosphère / Été / Printemps,Ouest,Est,3100,195,2018
Hull,Atmosphère / Été / Printemps,Ouest,Ouest,3100,195,2018
Aylmer,Allumettières / Vanier,Nord,Est,16500,0.9,2018
Aylmer,Allumettières / Vanier,Nord,Nord,16500,0.9,2018
Aylmer,Allumettières / Vanier,Est,Ouest,36600,0.6,2018
Aylmer,Allumettières / Vanier,Est,Est,36600,0.6,2018
Aylmer,Allumettières / Vanier,Sud,Nord,24200,0.5,2018
Aylmer,Allumettières / Vanier,Sud,Sud,24200,0.5,2018
Aylmer,Allumettières / Vanier,Ouest,Est,32200,0.6,2018
Aylmer,Allumettières / Vanier,Ouest,Ouest,32200,0.6,2018
Aylmer,Plateau / Scouts,Nord,Sud,5400,5.4,2018
Aylmer,Plateau / Scouts,Nord,Nord,5400,5.4,2018
Aylmer,Plateau / Scouts,Est,Ouest,600,1,2018
Aylmer,Plateau / Scouts,Est,Est,600,1,2018
Aylmer,Plateau / Scouts,Sud,Nord,5300,5,2018
Aylmer,Plateau / Scouts,Sud,Sud,5300,5,2018
