TYPE,DETAIL,NOM,SURFACE,ECLAIRAGE,OBJECTID,x,y
Soccer,Terrain à 9 avec 2 terrains à 7 intégrés,Debonair 1,Gazon naturel,Oui,105,-8003330.33023726,5689578.4744031
Soccer,4 terrains à 5,Debonair 3,Gazon naturel,Non,106,-8003446.87456672,5689587.86215619
Soccer,Terrain à 7,Ernest-Bergeron 2,Gazon naturel,Non,107,-8009371.37584415,5698114.31364114
Soccer,Terrain à 9 avec 2 terrains à 7 intégrés,Ernest-Bergeron 1,Gazon naturel,Non,108,-8009307.94486312,5698054.5615704
Soccer,Terrain à 7,Jacques-Cartier 2,Gazon naturel,Non,109,-8005887.17014929,5683972.05500004
Soccer,NA,Optimist 1,NA,NA,110,-7998499.42729467,5679466.54566281
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Jean-Claude-Quirion 1,Gazon naturel,Non,111,-8000343.77751048,5684795.15207344
Soccer,Terrain à 9,Jules-Richard 1,Gazon naturel,Oui,112,-8019393.26012764,5675973.36992115
Soccer,Terrain à 7,Marie-Médiatrice 1,Gazon naturel,Oui,113,-8009252.04250113,5682804.04341383
Soccer,Terrain à 7,Olivier-Chauveau 1,Gazon naturel,Non,114,-8012047.56535807,5682329.04470716
Soccer,Terrain à 11,Olympique synthétique 1,Gazon synthétique,Oui,115,-8001856.23717656,5686633.13792782
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Olympique 2,Gazon naturel,Oui,116,-8001805.7606592,5686408.1770624695
Soccer,Terrain à 9 avec 2 terrains à 7 intégrés,Paul-Marin 2,Gazon naturel,Oui,117,-8007451.06179722,5682984.69486807
Soccer,Terrain à 9,Paul-Marin 1,Gazon naturel,Oui,118,-8007320.64184739,5682955.76425539
Soccer,Terrain à 11,Quintal 1,Gazon naturel,Oui,119,-7998457.71105703,5689643.54591385
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Quintal 2,Gazon naturel,Oui,120,-7998481.98205233,5689786.44606291
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Quintal 3,Gazon naturel,Non,121,-7998580.961769,5689485.13942955
Soccer,NA,Université Bishop's synthétique Coulter field,NA,NA,122,-7997314.50272171,5679210.24016356
Soccer,Terrain à 7,Saint-Alphonse 2A,Gazon naturel,Oui,123,-8005409.25760652,5687027.94456242
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Saint-Charles-Garnier 1,Gazon naturel,Non,124,-8010232.36171715,5686851.53487743
Soccer,6 terrains à 5,Saint-Boniface 1,Gazon naturel,Non,125,-8007929.05097523,5684573.2065178
Basketball,NA,NA,Terre battue,Oui,126,-8005748.13043663,5692929.08822897
Soccer,NA,École Le Triolet 1,NA,NA,127,-8008876.76029891,5681782.57934047
Baseball,NA,NA,Gazon naturel,Oui,128,-8004444.02790277,5682789.89205212
Tennis,Nombre de court(s) : 3,NA,Terre battue,Oui,129,-8004735.6976617,5682242.43593998
Soccer,NA,École Le Triolet 2,NA,NA,130,-8008840.97212003,5682069.62542637
Tennis,Nombre de court(s) : 3,NA,Terre battue,Oui,131,-8009094.85139276,5682828.56143047
Volleyball,NA,NA,Sable,Non,132,-8006852.51669922,5683828.97063125
Baseball,NA,NA,Gazon naturel,Non,133,-8001595.30702187,5688780.36671996
Volleyball,NA,NA,Sable,Non,134,-8015804.2537407,5684667.16482268
Basketball,NA,NA,Asphalte,Non,135,-8016297.52235385,5683293.6440741
Pickleball,NA,NA,Asphalte,Oui,136,-8008460.83099008,5695761.31941092
Pickleball,NA,NA,Asphalte,Oui,137,-8015801.50086177,5684600.76136026
Basketball,NA,NA,Terre battue,Oui,138,-7999736.31918072,5687302.77005933
Pickleball,NA,NA,Asphalte,Oui,139,-7999359.24955254,5679853.37704054
Tennis,Nombre de court(s) : 3,NA,Terre battue,Oui,140,-8001536.59090736,5684969.04229627
Tennis,Nombre de court(s) : 2,NA,Synthétique,Oui,141,-7996595.61100892,5685894.3914528
Pickleball,NA,NA,Asphalte,Oui,142,-8005514.41901298,5687121.67836661
Basketball,NA,NA,Asphalte,Oui,143,-8003221.73091381,5684243.19596351
Basketball,NA,NA,Asphalte,Non,144,-7998744.23569862,5681059.93442419
Pickleball,NA,NA,Asphalte,Oui,145,-7996482.46157681,5685758.18310119
Basketball,NA,NA,Asphalte,Non,146,-8009220.43842725,5697987.66875263
Tennis,Nombre de court(s) : 1,NA,Asphalte,Oui,147,-8017520.32935711,5670581.3409612
Pickleball,NA,NA,Asphalte,Oui,148,-8017519.54326767,5670591.95553955
Pickleball,NA,NA,Asphalte,Oui,149,-8017521.2296528,5670569.31088798
Basketball,NA,NA,Asphalte,Oui,150,-8007570.94750494,5682842.91877927
Tennis,Nombre de court(s) : 2,NA,Synthétique,Oui,151,-8008952.94036612,5696293.93003961
Pickleball,NA,NA,Asphalte,Oui,152,-8007570.3396967,5682911.17699736
Pickleball,NA,NA,Asphalte,Oui,153,-8002837.8762918,5680709.62586891
Tennis,Nombre de court(s) : 2,NA,Asphalte,Oui,154,-8014711.98915362,5677659.01706249
Tennis,Nombre de court(s) : 2,NA,Terre battue,Oui,155,-8014669.00900118,5677654.49692921
Pickleball,NA,NA,Asphalte,Oui,156,-8007899.69700618,5684679.810107
Pickleball,NA,NA,Asphalte,Oui,157,-8013256.25414114,5681709.49735127
Jeu modulaire,2-5 ans,NA,NA,NA,158,-8007988.86283769,5687032.77896434
Jeu modulaire,5-12 ans,NA,NA,NA,159,-8007984.31173576,5687046.64147765
Jeu modulaire,2-5 ans,NA,NA,NA,160,-7999727.03477834,5688557.74923197
Jeu modulaire,2-12 ans,NA,NA,NA,161,-8009289.34658417,5686484.57372719
Jeu modulaire,5-12 ans,NA,NA,NA,162,-7999713.74890217,5688564.11514166
Jeu modulaire,2-5 ans,NA,NA,NA,163,-8000166.6998763,5682986.74475234
Jeu modulaire,2-5 ans,NA,NA,NA,164,-8000740.58636181,5685667.07335403
Jeu modulaire,5-12 ans,NA,NA,NA,165,-8000746.32065207,5685686.22813326
Jeu modulaire,5-12 ans,NA,NA,NA,166,-8005763.19630371,5683830.97418231
Jeu modulaire,5-12 ans,NA,NA,NA,167,-8014743.3338717,5677569.23057188
Jeu modulaire,5-12 ans,NA,NA,NA,168,-8014192.04901937,5678775.20537497
Jeu modulaire,2-5 ans,NA,NA,NA,169,-8014157.71222003,5678777.89257472
Jeu modulaire,2-5 ans,NA,NA,NA,170,-8003712.3733681,5681345.49923742
Jeu modulaire,2-5 ans,NA,NA,NA,171,-8006930.53101246,5683839.2376807
Jeu modulaire,5-12 ans,NA,NA,NA,172,-8005508.99925835,5682685.40660601
Jeu modulaire,2-5 ans,NA,NA,NA,173,-8008802.89098009,5679344.64115255
Jeu modulaire,2-5 ans,NA,NA,NA,174,-8001518.64293292,5688850.76297056
Jeu modulaire,5-12 ans,NA,NA,NA,175,-8008786.41783695,5679322.30316981
Jeu modulaire,5-12 ans,NA,NA,NA,176,-8003135.67060239,5684193.43336231
Jeu modulaire,2-5 ans,NA,NA,NA,177,-8003160.14809593,5684201.08256655
Jeu modulaire,2-5 ans,NA,NA,NA,178,-8002786.1708683,5684440.13265842
Jeu modulaire,2-12 ans,NA,NA,NA,179,-8007863.43498627,5685943.43674494
Jeu modulaire,5-12 ans,NA,NA,NA,180,-8001458.44898416,5687242.80785507
Jeu modulaire,5-12 ans,NA,NA,NA,181,-8002857.43052502,5687178.99754283
Jeu modulaire,2-5 ans,NA,NA,NA,182,-8002721.44395583,5687037.11168242
Jeu modulaire,2-12 ans,NA,NA,NA,183,-7998062.85762674,5686775.71558898
Jeu modulaire,2-5 ans,NA,NA,NA,184,-7998336.31273827,5685171.37295168
Jeu modulaire,2-5 ans,NA,NA,NA,185,-7996527.19354643,5685723.32767319
Jeu modulaire,2-12 ans,NA,NA,NA,186,-7996546.98775876,5685849.09566916
Jeu modulaire,2-5 ans,NA,NA,NA,187,-7995688.4462674,5686788.62026154
Jeu modulaire,2-5 ans,NA,NA,NA,188,-7998536.12689513,5689609.74207373
Jeu modulaire,5-12 ans,NA,NA,NA,189,-7998533.46825878,5689591.08607546
Jeu modulaire,5-12 ans,NA,NA,NA,190,-8012990.12042963,5683379.06183442
Jeu modulaire,2-5 ans,NA,NA,NA,191,-8012969.17748852,5683390.14450362
Jeu modulaire,2-12 ans,NA,NA,NA,192,-7999765.57596548,5687350.00654352
Jeu modulaire,5-12 ans,NA,NA,NA,193,-8002982.35177236,5680667.99750769
Jeu modulaire,2-5 ans,NA,NA,NA,194,-8002965.08709493,5680613.78598178
Jeu modulaire,2-12 ans,NA,NA,NA,195,-8001637.02676568,5687989.86314393
Jeu modulaire,2-5 ans,NA,NA,NA,196,-8004430.0514224,5682671.82401096
Jeu modulaire,2-12 ans,NA,NA,NA,197,-8007442.19769822,5682807.4536050605
Jeu modulaire,2-5 ans,NA,NA,NA,198,-8002521.12126123,5682335.73250105
Jeu modulaire,5-12 ans,NA,NA,NA,199,-8002537.70808164,5682318.31614442
Jeu modulaire,5-12 ans,NA,NA,NA,200,-8011997.41106039,5682376.10756896
Jeu modulaire,2-5 ans,NA,NA,NA,201,-8012038.31591032,5682385.48847055
Jeu modulaire,5-12 ans,NA,NA,NA,202,-8006989.32290712,5683849.00915975
Jeu modulaire,2-12 ans,NA,NA,NA,203,-8010187.31110017,5686670.33363187
Jeu modulaire,5-12 ans,NA,NA,NA,204,-8008513.93951229,5695707.91760735
Jeu modulaire,5-12 ans,NA,NA,NA,205,-8016346.05247575,5683363.0447287
Jeu modulaire,5-12 ans,NA,NA,NA,206,-8003345.83144774,5682874.92946481
Jeu modulaire,5-12 ans,NA,NA,NA,207,-8002204.21589728,5683378.28509265
Jeu modulaire,2-5 ans,NA,NA,NA,208,-8008863.68783947,5696194.06942127
Jeu modulaire,5-12 ans,NA,NA,NA,209,-8016321.93854637,5683390.50107738
Jeu modulaire,2-5 ans,NA,NA,NA,210,-8016330.53349308,5683403.82710925
Jeu modulaire,2-5 ans,NA,NA,NA,211,-7999473.49728743,5679863.58631779
Jeu modulaire,2-5 ans,NA,NA,NA,212,-7999465.90607019,5679872.33576913
Jeu modulaire,2-5 ans,NA,NA,NA,213,-7999463.88881869,5679867.86020191
Jeu modulaire,2-12 ans,NA,NA,NA,214,-7996845.36400083,5688321.51230007
Jeu modulaire,2-5 ans,NA,NA,NA,215,-8001564.91505805,5685008.05349697
Jeu modulaire,5-12 ans,NA,NA,NA,216,-8001544.20804713,5688878.04669799
Jeu modulaire,2-12 ans,NA,NA,NA,217,-8010637.83095195,5679129.76556557
Jeu modulaire,2-5 ans,NA,NA,NA,218,-8015873.69658552,5684528.30846086
Jeu modulaire,2-5 ans,NA,NA,NA,219,-8013769.38263652,5682821.5871876
Jeu modulaire,5-12 ans,NA,NA,NA,220,-8015828.07069353,5684512.92593778
Jeu modulaire,2-5 ans,NA,NA,NA,221,-8001468.68321763,5687253.85358744
Jeu modulaire,2-5 ans,NA,NA,NA,222,-8007115.07992101,5684307.60574737
Jeu modulaire,5-12 ans,NA,NA,NA,223,-8007120.87340454,5684311.08263951
Jeu modulaire,2-12 ans,NA,NA,NA,224,-8003481.67000386,5689593.68727467
Jeu modulaire,5-12 ans,NA,NA,NA,225,-8012144.76957311,5680517.39570898
Jeu modulaire,5-12 ans,NA,NA,NA,226,-8013325.84395111,5681649.36997616
Jeu modulaire,2-5 ans,NA,NA,NA,227,-8013319.25430676,5681636.01261309
Jeu modulaire,2-5 ans,NA,NA,NA,228,-8014885.13567079,5682944.63686605
Jeu modulaire,5-12 ans,NA,NA,NA,229,-8014877.02396187,5682928.87951568
Jeu modulaire,2-12 ans,NA,NA,NA,230,-8019643.44016607,5683569.44345242
Jeu modulaire,2-12 ans,NA,NA,NA,231,-8020860.67833185,5680209.26676814
Jeu modulaire,2-12 ans,NA,NA,NA,232,-8009619.85727197,5684601.02204505
Jeu modulaire,5-12 ans,NA,NA,NA,233,-8007988.83106133,5684672.69175421
Jeu modulaire,2-12 ans,NA,NA,NA,234,-8005794.19905405,5692917.09902184
Jeu modulaire,2-5 ans,NA,NA,NA,235,-8005804.40502825,5692910.83501821
Jeu modulaire,5-12 ans,NA,NA,NA,236,-7995664.38886394,5686782.61307667
Jeu modulaire,2-5 ans,NA,NA,NA,237,-8015206.4023253,5674909.32080197
Jeu modulaire,5-12 ans,NA,NA,NA,238,-8013996.83261566,5674115.65622321
Jeu modulaire,5-12 ans,NA,NA,NA,239,-8019306.78547686,5676096.85031239
Jeu modulaire,2-5 ans,NA,NA,NA,240,-8019314.72776414,5676076.85066234
Jeu modulaire,5-12 ans,NA,NA,NA,241,-8019333.93586687,5676048.38765892
Jeu modulaire,2-12 ans,NA,NA,NA,242,-8001958.16092782,5682322.77333565
Jeu modulaire,5-12 ans,NA,NA,NA,243,-8017704.65922565,5674491.9435678
Jeu modulaire,2-5 ans,NA,NA,NA,244,-8017687.25175222,5674462.10557411
Jeu modulaire,2-5 ans,NA,NA,NA,245,-8014782.13486532,5677559.38158803
Jeu modulaire,5-12 ans,NA,NA,NA,246,-8015008.28359036,5679688.27913129
Jeu modulaire,2-5 ans,NA,NA,NA,247,-8015004.76150258,5679705.97081759
Jeu modulaire,2-5 ans,NA,NA,NA,248,-8014727.45269834,5678479.14236995
Jeu modulaire,2-12 ans,NA,NA,NA,249,-8005577.29860987,5688092.18642414
Jeu modulaire,2-5 ans,NA,NA,NA,250,-8012144.17469519,5680501.33098172
Jeu modulaire,5-12 ans,NA,NA,NA,251,-7994235.35224934,5678664.54414388
Jeu modulaire,2-5 ans,NA,NA,NA,252,-8009989.71363149,5680305.3080886
Jeu modulaire,5-12 ans,NA,NA,NA,253,-8010016.38427988,5680273.94817087
Jeu modulaire,2-5 ans,NA,NA,NA,254,-8017570.50529047,5670590.04593404
Jeu modulaire,2-5 ans,NA,NA,NA,255,-7999828.71811689,5680526.73500245
Jeu modulaire,2-5 ans,NA,NA,NA,256,-7998754.92164523,5681029.15890403
Jeu modulaire,5-12 ans,NA,NA,NA,257,-7998752.86724344,5681016.43503531
Jeu modulaire,5-12 ans,NA,NA,NA,258,-8013775.73266613,5682840.76949387
Jeu modulaire,2-5 ans,NA,NA,NA,259,-8003584.50872578,5680229.60629025
Jeu modulaire,2-5 ans,NA,NA,NA,260,-8008481.70554472,5695687.39062746
Jeu modulaire,2-12 ans,NA,NA,NA,261,-8009172.48043588,5698050.4954668
Jeu modulaire,2-5 ans,NA,NA,NA,262,-8009186.62208732,5698016.6896461
Jeu modulaire,2-5 ans,NA,NA,NA,263,-8005462.38226819,5687261.55647772
Jeu modulaire,5-12 ans,NA,NA,NA,264,-8005468.90760882,5687267.99224551
Jeu modulaire,2-5 ans,NA,NA,NA,265,-8005786.56032076,5683828.74591061
Jeu modulaire,5-12 ans,NA,NA,NA,266,-7998934.64737954,5686935.94176145
Jeu modulaire,2-5 ans,NA,NA,NA,267,-7998926.45601313,5686955.4431469
Jeu modulaire,2-5 ans,NA,NA,NA,268,-7997699.39163669,5688226.52265767
Jeu modulaire,5-12 ans,NA,NA,NA,269,-7997716.6068252,5688218.11087239
Jeu modulaire,2-12 ans,NA,NA,NA,270,-8004288.60548243,5685022.22509395
Jeu modulaire,2-5 ans,NA,NA,NA,271,-8000994.77540794,5686714.28487405
Jeu modulaire,2-5 ans,NA,NA,NA,272,-8000556.98519631,5683592.3678485
Jeu modulaire,2-5 ans,NA,NA,NA,273,-8012017.33513575,5682382.49537067
Jeu modulaire,2-12 ans,NA,NA,NA,274,-8006937.25792254,5683867.2214004
Jeu modulaire,2-5 ans,NA,NA,NA,275,-8012022.59265428,5682377.90963085
Jeu modulaire,5-12 ans,NA,NA,NA,276,-8003086.61152498,5689526.13295042
Tir à l'arc,NA,NA,NA,NA,277,-8004908.84595505,5681314.67123937
Pétanque,NA,NA,NA,NA,278,-8009270.03511191,5686433.76715988
Jeu de galets,NA,NA,NA,NA,279,-8009248.14208644,5686468.18813595
Pétanque,NA,NA,NA,NA,280,-7998320.35949618,5685996.81994693
Jeu de galets,NA,NA,NA,NA,281,-7998308.04555015,5686060.72717976
Planche à roulettes,NA,NA,NA,NA,282,-8009256.60966804,5696658.09953306
Préau et plancher de danse,NA,NA,NA,NA,283,-8005749.7120385,5684297.41995479
Pétanque,NA,NA,NA,NA,284,-8008552.67210275,5695659.41336924
Jeu de galets,NA,NA,NA,NA,285,-8008564.48216928,5695637.16037191
Préau et plancher de danse,NA,NA,NA,NA,286,-8008531.16590839,5695649.86652062
Préau et plancher de danse,NA,NA,NA,NA,287,-8013190.28577081,5681691.2870204
Pétanque,NA,NA,NA,NA,288,-8013279.24086681,5681753.01422889
Patinoire à bandes mobiles,NA,NA,Gazon,NA,289,-8007960.05470576,5684563.53039171
"Surface, anneau ou étang glacé",NA,NA,NA,NA,290,-8007960.39946455,5684594.84315623
Jeu de galets,NA,NA,NA,NA,291,-8005843.47870079,5683879.07179144
Pétanque,NA,NA,NA,NA,292,-8004917.13644191,5684897.67724976
Pétanque,NA,NA,NA,NA,293,-8004910.58616497,5684934.32955378
Jeu de galets,NA,NA,NA,NA,294,-8017508.6539725,5670613.00402846
Jeu de galets,NA,NA,NA,NA,295,-8003057.17943511,5684161.39644679
Planche à roulettes,NA,NA,NA,NA,296,-8002997.90880319,5680618.09914795
Patinoire à bandes fixes,NA,NA,NA,NA,297,-8003192.35785065,5683929.87523177
Pétanque,NA,NA,NA,NA,298,-8001608.02542881,5684955.34650426
Jeu de galets,NA,NA,NA,NA,299,-8002519.42289354,5682410.60708213
"Surface, anneau ou étang glacé",NA,NA,Gazon,NA,300,-8012041.67941889,5680519.62783745
Patinoire à bandes mobiles,NA,NA,Gazon,NA,301,-8012016.47789084,5680517.49566861
Patinoire à bandes mobiles,NA,NA,Asphalte,NA,302,-8013111.87467521,5681565.03862696
"Surface, anneau ou étang glacé",NA,NA,NA,NA,303,-8012103.64119986,5682382.25821576
Patinoire à bandes mobiles,NA,NA,Poussière,NA,304,-8013059.60215613,5683395.88323148
"Surface, anneau ou étang glacé",NA,NA,NA,NA,305,-8013074.61816277,5683410.21363239
Plage,NA,NA,NA,NA,306,-8006909.81815249,5683932.49935673
