ID_Variable;QUOTE_DATE;SEASON;Quarter;MONTH;VEHICLE_YEAR;VEHICLE_MAKE;VEHICLE_MODEL;VEHICLE_TYPE;ANNUAL_KM;COMMUTE_DISTANCE;VEHICLE_USE;FSA_CODE;REGIONAL_AREA;MARITAL_STATUS;GENDER;MULTI_PRODUCT;YEARS_LICENSED;YEAR_OF_BIRTH;AGE;GENERATION;IS_BOUND;IS_BOUND_BINARY
40000022;04/01/2016;Winter;Q1;January;1992;TOYOTA;PREVIA;VAN;15000;15;Commute;L4L;Central Ontario;Single;Male;No;25;1964;52;Baby Boomers;Not Bound;0
40000023;04/01/2016;Winter;Q1;January;2015;JEEP;CHEROKEE;CAR;9000;;Pleasure;E3N;New Brunswick;Married;Male;Yes;47;1953;63;Baby Boomers;Not Bound;0
40000024;04/01/2016;Winter;Q1;January;2010;CHEVROLET;MALIBU;CAR;35000;;Business;K0A;Eastern Ontario;Single;Male;Yes;8;1990;26;Gen Y;Not Bound;0
40000025;04/01/2016;Winter;Q1;January;2013;MERCEDES BENZ;C;CAR;15000;20;Commute;L6Y;Central Ontario;Married;Female;Yes;13;1969;47;Gen X;Not Bound;0
40000026;04/01/2016;Winter;Q1;January;2013;MAZDA;MX5;SPORTS CAR;10000;;Pleasure;L0S;Central Ontario;Married;Male;Yes;42;1957;59;Baby Boomers;Not Bound;0
40000027;04/01/2016;Winter;Q1;January;2017;HYUNDAI;ELENTRA;CAR;20000;7;Commute;A1W;Newfoundland and Labrador;Single;Female;No;5;1993;23;Gen Y;Not Bound;0
40000028;04/01/2016;Winter;Q1;January;2006;PONTIAC;PURSUIT;CAR;30000;20;Commute;B0E;Nova Scotia;Single;Female;No;10;1990;26;Gen Y;Not Bound;0
40000029;04/01/2016;Winter;Q1;January;2016;INFINITI;QX60;CAR;10000;10;Commute;L7A;Central Ontario;Married;Female;Yes;7;1975;41;Gen X;Not Bound;0
40000030;04/01/2016;Winter;Q1;January;2006;FORD;TAURUSX;CAR;5000;;Pleasure;L5M;Central Ontario;Married;Female;Yes;25;1961;55;Baby Boomers;Not Bound;0
40000031;04/01/2016;Winter;Q1;January;2012;FORD;FUSION;CAR;10000;61;Commute;K6H;Eastern Ontario;Married;Female;Yes;37;1961;55;Baby Boomers;Not Bound;0
40000032;04/01/2016;Winter;Q1;January;2011;KIA;FORTE;CAR;10000;20;Commute;L5V;Central Ontario;Single;Male;No;11;1971;45;Gen X;Not Bound;0
40000033;04/01/2016;Winter;Q1;January;1996;CHRYSLER;INTREPID;CAR;10000;;Pleasure;Y1A;Yukon;Single;Male;No;27;1969;47;Gen X;Not Bound;0
40000034;04/01/2016;Winter;Q1;January;2014;MINI;COOPER;CAR;20000;16;Commute;L3R;Central Ontario;Married;Female;Yes;3;1981;35;Gen Y;Not Bound;0
40000035;04/01/2016;Winter;Q1;January;2007;SUBARU;IMPREZA;CAR;20000;12;Commute;M6M;Metropolitan Toronto;Single;Male;No;3;1996;20;Gen Z;Not Bound;0
40000036;04/01/2016;Winter;Q1;January;2005;FORD;ESCAPE;CAR;10000;20;Commute;K7A;Eastern Ontario;Single;Female;No;2;1993;23;Gen Y;Not Bound;0
40000037;04/01/2016;Winter;Q1;January;2006;DODGE;CARAVAN;VAN;20000;5;Commute;L3Z;Central Ontario;Single;Male;Yes;4;1995;21;Gen Y;Not Bound;0
40000038;04/01/2016;Winter;Q1;January;2009;FORD;CROWN VICTORIA;CAR;5000;;Pleasure;A0A;Newfoundland and Labrador;Married;Male;Yes;30;1967;49;Gen X;Not Bound;0
40000039;04/01/2016;Winter;Q1;January;2014;CHEVROLET;CRUZE;CAR;15000;5;Commute;A0L;Newfoundland and Labrador;Single;Male;No;5;1994;22;Gen Y;Not Bound;0
40000040;04/01/2016;Winter;Q1;January;2007;HONDA;ACCORD;CAR;20000;20;Commute;K7P;Eastern Ontario;Married;Male;Yes;19;1980;36;Gen Y;Not Bound;0
40000041;04/01/2016;Winter;Q1;January;2011;VOLKSWAGEN;GOLF;CAR;20000;21;Commute;K0H;Eastern Ontario;Separated;Female;Yes;37;1961;55;Baby Boomers;Not Bound;0
40000042;04/01/2016;Winter;Q1;January;2017;TOYOTA;COROLLA;CAR;10000;;Pleasure;M1S;Metropolitan Toronto;Single;Female;Yes;6;1992;24;Gen Y;Not Bound;0
40000043;04/01/2016;Winter;Q1;January;2007;TOYOTA;CAMRY;CAR;15000;17;Commute;L7A;Central Ontario;Married;Male;Yes;4;1981;35;Gen Y;Not Bound;0
40000044;04/01/2016;Winter;Q1;January;2012;DODGE;RAM;TRUCK;10000;;Pleasure;P6B;Northern Ontario;Married;Male;Yes;37;1962;54;Baby Boomers;Not Bound;0
40000045;04/01/2016;Winter;Q1;January;2015;TOYOTA;COROLLA;CAR;20000;10;Commute;P0H;Northern Ontario;Single;Female;Yes;32;1963;53;Baby Boomers;Not Bound;0
40000046;04/01/2016;Winter;Q1;January;2005;PONTIAC;GRAND;CAR;30000;50;Commute;K0C;Eastern Ontario;Married;Male;No;3;1979;37;Gen Y;Not Bound;0
40000047;04/01/2016;Winter;Q1;January;2015;DODGE;CARAVAN;VAN;15000;15;Commute;M6G;Metropolitan Toronto;Married;Male;Yes;23;1973;43;Gen X;Not Bound;0
40000048;04/01/2016;Winter;Q1;January;2002;ACURA;EL;CAR;10000;15;Commute;L1W;Central Ontario;Single;Male;No;2;1997;19;Gen Z;Not Bound;0
40000049;04/01/2016;Winter;Q1;January;2002;HONDA;CIVIC;CAR;20000;16;Commute;B2N;Nova Scotia;Single;Male;No;7;1993;23;Gen Y;Not Bound;0
40000050;04/01/2016;Winter;Q1;January;2002;VOLKSWAGEN;GOLF;CAR;7000;;Pleasure;N4G;Southwestern Ontario;Married;Male;No;11;1988;28;Gen Y;Not Bound;0
40000051;04/01/2016;Winter;Q1;January;1995;MERCEDES BENZ;S;CAR;12000;5;Commute;P6C;Northern Ontario;Single;Male;Yes;0;1999;17;Gen Z;Not Bound;0
40000052;04/01/2016;Winter;Q1;January;2013;FORD;FOCUS;CAR;24000;33;Commute;K4M;Eastern Ontario;Married;Female;Yes;15;1985;31;Gen Y;Not Bound;0
40000053;04/01/2016;Winter;Q1;January;2016;MAZDA;MAZDA3;CAR;20000;29;Commute;L1Z;Central Ontario;Single;Male;No;1;1991;25;Gen Y;Not Bound;0
40000054;04/01/2016;Winter;Q1;January;2003;PONTIAC;SUNFIRE;CAR;10000;;Pleasure;P0L;Northern Ontario;Single;Female;Yes;34;1965;51;Gen X;Not Bound;0
40000055;04/01/2016;Winter;Q1;January;2005;HYUNDAI;ACCENT;CAR;15000;10;Commute;B1L;Nova Scotia;Single;Male;No;0;1997;19;Gen Z;Not Bound;0
40000056;04/01/2016;Winter;Q1;January;2017;BMW;X3;CAR;20000;15;Commute;M2N;Metropolitan Toronto;Single;Female;Yes;3;1995;21;Gen Y;Not Bound;0
40000057;04/01/2016;Winter;Q1;January;2012;DODGE;CARAVAN;VAN;25000;50;Commute;L7A;Central Ontario;Married;Male;No;24;1970;46;Gen X;Not Bound;0
40000058;04/01/2016;Winter;Q1;January;2008;MAZDA;MAZDA3;CAR;10000;;Pleasure;M4C;Metropolitan Toronto;Married;Male;Yes;3;1984;32;Gen Y;Not Bound;0
40000059;04/01/2016;Winter;Q1;January;2014;CHEVROLET;CRUZE;CAR;15000;10;Commute;N8W;Southwestern Ontario;Married;Male;Yes;13;1987;29;Gen Y;Not Bound;0
40000060;04/01/2016;Winter;Q1;January;1997;GMC;C/K;TRUCK;20000;20;Commute;N0A;Southwestern Ontario;Single;Male;No;8;1988;28;Gen Y;Not Bound;0
40000061;04/01/2016;Winter;Q1;January;2013;HYUNDAI;ELANTRA ;CAR;15000;15;Commute;N6H;Southwestern Ontario;Married;Male;Yes;44;1952;64;Baby Boomers;Not Bound;0
40000062;04/01/2016;Winter;Q1;January;2003;HYUNDAI;TIBURON;SPORTS CAR;7000;;Pleasure;E2A;New Brunswick;Divorced;Male;No;46;1953;63;Baby Boomers;Not Bound;0
40000063;04/01/2016;Winter;Q1;January;2004;FORD;RANGER;TRUCK;20000;10;Commute;L0L;Central Ontario;Single;Male;No;7;1990;26;Gen Y;Not Bound;0
40000064;04/01/2016;Winter;Q1;January;2007;VOLVO;V70;CAR;3000;;Pleasure;K0M;Eastern Ontario;Single;Female;Yes;63;1935;81;Traditionalist;Not Bound;0
40000065;04/01/2016;Winter;Q1;January;2008;HONDA;CIVIC;CAR;10000;;Pleasure;K0A;Eastern Ontario;Single;Female;Yes;48;1940;76;Traditionalist;Not Bound;0
40000066;04/01/2016;Winter;Q1;January;2016;MERCEDES BENZ;C;CAR;10000;;Pleasure;L3T;Central Ontario;Married;Male;Yes;3;1962;54;Baby Boomers;Not Bound;0
40000067;04/01/2016;Winter;Q1;January;2012;HONDA;ODYSSEY;VAN;30000;50;Commute;L4G;Central Ontario;Married;Male;Yes;13;1984;32;Gen Y;Not Bound;0
40000068;04/01/2016;Winter;Q1;January;2011;BUICK;LACROSSE;CAR;20000;20;Commute;L2E;Central Ontario;Married;Male;Yes;49;1937;79;Traditionalist;Not Bound;0
40000069;04/01/2016;Winter;Q1;January;1987;VOLKSWAGEN;TRANSPORTER;VAN;10000;;Pleasure;Y1A;Yukon;Single;Male;No;32;1958;58;Baby Boomers;Not Bound;0
40000070;04/01/2016;Winter;Q1;January;2011;FORD;ESCAPE;CAR;2000;;Pleasure;E4J;New Brunswick;Married;Male;Yes;55;1944;72;Traditionalist;Not Bound;0
40000071;04/01/2016;Winter;Q1;January;2012;HONDA;CIVIC;CAR;15000;15;Commute;L6Z;Central Ontario;Married;Male;Yes;12;1986;30;Gen Y;Not Bound;0
40000072;04/01/2016;Winter;Q1;January;2013;DODGE;RAM;TRUCK;10000;;Pleasure;L0L;Central Ontario;Married;Female;Yes;35;1964;52;Baby Boomers;Not Bound;0
40000073;04/01/2016;Winter;Q1;January;2005;PONTIAC;MONTANA;VAN;10000;;Pleasure;N5C;Southwestern Ontario;Married;Male;Yes;60;1939;77;Traditionalist;Not Bound;0
40000074;04/01/2016;Winter;Q1;January;2012;HYUNDAI;TUCSON;CAR;5000;;Pleasure;B1R;Nova Scotia;Single;Male;Yes;33;1966;50;Gen X;Not Bound;0
40000075;04/01/2016;Winter;Q1;January;2011;TOYOTA;COROLLA;CAR;15000;7;Commute;L8E;Central Ontario;Married;Female;Yes;2;1978;38;Gen Y;Not Bound;0
40000076;04/01/2016;Winter;Q1;January;2016;SUBARU;CROSSTREK;CAR;15000;5;Commute;L2N;Central Ontario;Single;Male;No;19;1981;35;Gen Y;Not Bound;0
40000077;04/01/2016;Winter;Q1;January;1993;MERCURY;VILLAGER;VAN;15000;12;Commute;Y1A;Yukon;Single;Female;No;35;1964;52;Baby Boomers;Not Bound;0
40000078;04/01/2016;Winter;Q1;January;2015;NISSAN;MURANO;CAR;1000;;Pleasure;L0R;Central Ontario;Married;Male;Yes;54;1944;72;Traditionalist;Not Bound;0
40000079;04/01/2016;Winter;Q1;January;2013;NISSAN;TITAN;TRUCK;28000;30;Commute;K0A;Eastern Ontario;Single;Male;Yes;9;1990;26;Gen Y;Not Bound;0
40000080;04/01/2016;Winter;Q1;January;1988;DODGE;D/W SERIES;TRUCK;1000;;Pleasure;L9H;Central Ontario;Single;Male;No;4;1996;20;Gen Z;Not Bound;0
40000081;04/01/2016;Winter;Q1;January;2006;DODGE;CARAVAN;VAN;20000;15;Commute;K1H;Eastern Ontario;Married;Male;No;4;1969;47;Gen X;Not Bound;0
40000082;04/01/2016;Winter;Q1;January;2012;PORSCHE;911;SPORTS CAR;10000;;Pleasure;K1M;Eastern Ontario;Married;Male;Yes;35;1964;52;Baby Boomers;Not Bound;0
40000083;04/01/2016;Winter;Q1;January;1996;BMW;3 series;CAR;10000;;Pleasure;A1M;Newfoundland and Labrador;Married;Female;Yes;38;1962;54;Baby Boomers;Not Bound;0
40000084;04/01/2016;Winter;Q1;January;2015;TOYOTA;YARIS;CAR;20000;7;Commute;A1L;Newfoundland and Labrador;Single;Female;Yes;8;1991;25;Gen Y;Not Bound;0
40000085;04/01/2016;Winter;Q1;January;2006;FORD;ESCAPE;CAR;5000;5;Commute;L1S;Central Ontario;Single;Female;Yes;3;1993;23;Gen Y;Not Bound;0
40000086;04/01/2016;Winter;Q1;January;2016;CHEVROLET;TRAX;CAR;10000;20;Commute;P0K;Northern Ontario;Married;Female;Yes;2;1984;32;Gen Y;Not Bound;0
40000087;04/01/2016;Winter;Q1;January;2013;FORD;F-150;TRUCK;10000;10;Commute;Y1A;Yukon;Single;Female;No;7;1993;23;Gen Y;Not Bound;0
40000088;04/01/2016;Winter;Q1;January;2011;TOYOTA;COROLLA;CAR;5000;;Pleasure;A0E;Newfoundland and Labrador;Married;Female;Yes;36;1962;54;Baby Boomers;Not Bound;0
40000089;04/01/2016;Winter;Q1;January;1998;TOYOTA;COROLLA;CAR;10000;;Pleasure;L8L;Central Ontario;Married;Male;Yes;36;1935;81;Traditionalist;Not Bound;0
40000090;04/01/2016;Winter;Q1;January;2006;FORD;ECONOLINE ;VAN;10000;;Pleasure;K0A;Eastern Ontario;Married;Male;Yes;24;1975;41;Gen X;Not Bound;0
40000091;04/01/2016;Winter;Q1;January;2014;FORD;F-150;TRUCK;20000;7;Commute;B4N;Nova Scotia;Single;Female;Yes;0;2000;16;Gen Z;Not Bound;0
40000092;04/01/2016;Winter;Q1;January;2008;NISSAN;ROGUE;CAR;15000;15;Commute;K1C;Eastern Ontario;Married;Female;Yes;13;1964;52;Baby Boomers;Not Bound;0
40000093;04/01/2016;Winter;Q1;January;2011;TOYOTA;COROLLA;CAR;10000;;Pleasure;K2S;Eastern Ontario;Married;Female;Yes;42;1956;60;Baby Boomers;Not Bound;0
40000094;04/01/2016;Winter;Q1;January;2016;NISSAN;SENTRA;CAR;30000;70;Commute;K0K;Eastern Ontario;Single;Female;Yes;34;1965;51;Gen X;Not Bound;0
40000095;04/01/2016;Winter;Q1;January;2013;HYUNDAI;ELANTRA;CAR;2000;;Pleasure;B3B;Nova Scotia;Married;Male;Yes;52;1948;68;Baby Boomers;Not Bound;0
40000096;04/01/2016;Winter;Q1;January;2008;JEEP;COMMANDER;VAN;10000;25;Commute;P0L;Northern Ontario;Married;Female;Yes;37;1963;53;Baby Boomers;Not Bound;0
40000097;04/01/2016;Winter;Q1;January;2014;NISSAN;PATHFINDER;CAR;10000;5;Commute;M2J;Metropolitan Toronto;Married;Male;Yes;1;1974;42;Gen X;Not Bound;0
40000098;04/01/2016;Winter;Q1;January;2014;FORD;F-150;TRUCK;20000;;Business;A5A;Newfoundland and Labrador;Married;Male;Yes;21;1977;39;Gen Y;Not Bound;0
40000099;04/01/2016;Winter;Q1;January;2005;KIA;SORENTO;CAR;8000;;Pleasure;L7K;Central Ontario;Married;Female;Yes;46;1950;66;Baby Boomers;Not Bound;0
40000100;04/01/2016;Winter;Q1;January;2012;HYUNDAI;ACCENT;CAR;10000;8;Commute;E1G;New Brunswick;Married;Female;Yes;27;1972;44;Gen X;Not Bound;0
40000101;05/01/2016;Winter;Q1;January;2002;HONDA;ODYSSEY;VAN;10000;;Pleasure;M1B;Metropolitan Toronto;Married;Male;No;2;1998;18;Gen Z;Not Bound;0
40000102;05/01/2016;Winter;Q1;January;2013;KIA;FORTE;CAR;15000;5;Commute;A2H;Newfoundland and Labrador;Single;Female;Yes;6;1993;23;Gen Y;Not Bound;0
40000103;05/01/2016;Winter;Q1;January;2017;MAZDA;CX3;CAR;25000;16;Commute;M6K;Metropolitan Toronto;Single;Female;No;2;1991;25;Gen Y;Not Bound;0
40000104;05/01/2016;Winter;Q1;January;2013;DODGE;CARAVAN;VAN;30000;24;Commute;M5V;Metropolitan Toronto;Married;Male;Yes;1;1972;44;Gen X;Not Bound;0
40000105;05/01/2016;Winter;Q1;January;2008;NISSAN;VERSA;CAR;10000;12;Commute;N3R;Southwestern Ontario;Single;Male;No;11;1989;27;Gen Y;Not Bound;0
40000106;05/01/2016;Winter;Q1;January;2008;TOYOTA;RAV4;CAR;10000;10;Commute;L7G;Central Ontario;Single;Female;Yes;9;1991;25;Gen Y;Not Bound;0
40000107;05/01/2016;Winter;Q1;January;2017;MAZDA;MAZDA3;CAR;20000;28;Commute;N2J;Southwestern Ontario;Married;Male;No;10;1974;42;Gen X;Not Bound;0
40000108;05/01/2016;Winter;Q1;January;2008;NISSAN;SENTRA;CAR;10000;10;Commute;L5B;Central Ontario;Separated;Male;Yes;7;1975;41;Gen X;Not Bound;0
40000109;05/01/2016;Winter;Q1;January;1999;HONDA;CIVIC;CAR;15000;10;Commute;K0K;Eastern Ontario;Single;Male;No;4;1995;21;Gen Y;Not Bound;0
40000110;05/01/2016;Winter;Q1;January;2007;MAZDA;MAZDA3;CAR;15000;20;Commute;K1W;Eastern Ontario;Single;Female;Yes;2;1997;19;Gen Z;Not Bound;0
40000111;05/01/2016;Winter;Q1;January;2006;DODGE;CARAVAN;VAN;15000;15;Commute;L3T;Central Ontario;Married;Male;Yes;18;1981;35;Gen Y;Not Bound;0
40000112;05/01/2016;Winter;Q1;January;2013;HONDA;CR-V;CAR;10000;7;Commute;N6J;Southwestern Ontario;Married;Female;Yes;43;1957;59;Baby Boomers;Not Bound;0
40000113;05/01/2016;Winter;Q1;January;2013;MAZDA;MAZDA3;CAR;10000;;Pleasure;A1C;Newfoundland and Labrador;Single;Female;Yes;14;1986;30;Gen Y;Not Bound;0
40000114;05/01/2016;Winter;Q1;January;2016;FORD;EXPLORER;CAR;20000;16;Commute;L4J;Central Ontario;Married;Female;Yes;11;1988;28;Gen Y;Not Bound;0
40000115;05/01/2016;Winter;Q1;January;2014;DODGE;CARAVAN;VAN;3000;;Pleasure;A0E;Newfoundland and Labrador;Married;Female;Yes;11;1985;31;Gen Y;Not Bound;0
40000116;05/01/2016;Winter;Q1;January;2016;CHEVROLET;CRUZE;CAR;30000;25;Commute;X1A;Northwest Territories and Nunavut;Single;Female;No;15;1970;46;Gen X;Not Bound;0
40000117;05/01/2016;Winter;Q1;January;2005;SUBARU;FORESTER;CAR;10000;;Pleasure;N7S;Southwestern Ontario;Married;Male;Yes;22;1978;38;Gen Y;Not Bound;0
40000118;05/01/2016;Winter;Q1;January;2008;JEEP;WRANGLER;CAR;25000;60;Commute;K0C;Eastern Ontario;Single;Male;No;6;1994;22;Gen Y;Not Bound;0
40000119;05/01/2016;Winter;Q1;January;2002;ACURA;EL;CAR;10000;10;Commute;L5E;Central Ontario;Married;Female;Yes;10;1988;28;Gen Y;Not Bound;0
40000120;05/01/2016;Winter;Q1;January;2010;TOYOTA;TACOMA;TRUCK;30000;20;Commute;L5A;Central Ontario;Single;Male;Yes;13;1971;45;Gen X;Not Bound;0
40000121;05/01/2016;Winter;Q1;January;2017;TOYOTA;COROLLA;CAR;10000;;Pleasure;L7T;Central Ontario;Single;Female;Yes;66;1927;89;Traditionalist;Not Bound;0
40000122;05/01/2016;Winter;Q1;January;2002;CHRYSLER;NEON;CAR;5000;;Pleasure;A1M;Newfoundland and Labrador;Married;Female;Yes;34;1948;68;Baby Boomers;Not Bound;0
40000123;05/01/2016;Winter;Q1;January;2017;MAZDA;MAZDA6;CAR;10000;10;Commute;L1N;Central Ontario;Single;Female;Yes;6;1986;30;Gen Y;Not Bound;0
40000124;05/01/2016;Winter;Q1;January;2010;DODGE;NITRO;CAR;15000;30;Commute;P3P;Northern Ontario;Single;Female;Yes;0;1997;19;Gen Z;Not Bound;0
40000125;05/01/2016;Winter;Q1;January;2001;HONDA;CR-V;CAR;10000;61;Commute;E1A;New Brunswick;Single;Female;Yes;3;1994;22;Gen Y;Not Bound;0
40000126;05/01/2016;Winter;Q1;January;2005;TOYOTA;HIGHLANDER;CAR;10000;8;Commute;N2T;Southwestern Ontario;Married;Male;Yes;17;1962;54;Baby Boomers;Not Bound;0
40000127;05/01/2016;Winter;Q1;January;2016;FORD;F-150;TRUCK;20000;16;Commute;K8N;Eastern Ontario;Married;Male;Yes;7;1993;23;Gen Y;Not Bound;0
40000128;05/01/2016;Winter;Q1;January;2014;GMC;SIERRA;TRUCK;10000;11;Commute;N0G;Southwestern Ontario;Single;Male;Yes;5;1995;21;Gen Y;Not Bound;0
40000129;05/01/2016;Winter;Q1;January;2013;DODGE;CARAVAN;VAN;23000;35;Commute;N0A;Southwestern Ontario;Married;Female;Yes;30;1970;46;Gen X;Not Bound;0
40000130;05/01/2016;Winter;Q1;January;2010;MAZDA;MAZDA6;CAR;10000;;Pleasure;A0K;Newfoundland and Labrador;Married;Female;Yes;42;1957;59;Baby Boomers;Not Bound;0
40000131;05/01/2016;Winter;Q1;January;2016;HONDA;ACCORD;CAR;15000;50;Commute;A0B;Newfoundland and Labrador;Married;Female;No;36;1956;60;Baby Boomers;Not Bound;0
40000132;05/01/2016;Winter;Q1;January;2007;CHEVROLET;OPTRA;CAR;10000;;Pleasure;K0M;Eastern Ontario;Married;Female;Yes;37;1956;60;Baby Boomers;Not Bound;0
40000133;05/01/2016;Winter;Q1;January;2011;BUICK;ENCLAVE;CAR;15000;10;Commute;N8H;Southwestern Ontario;Separated;Male;No;5;1975;41;Gen X;Not Bound;0
40000134;05/01/2016;Winter;Q1;January;2016;LAND ROVER;DISCOVERY;CAR;16000;53;Commute;N0L;Southwestern Ontario;Married;Female;Yes;19;1981;35;Gen Y;Not Bound;0
40000135;05/01/2016;Winter;Q1;January;2010;MAZDA;MAZDA3;CAR;10000;20;Commute;N3T;Southwestern Ontario;Separated;Female;No;2;1983;33;Gen Y;Not Bound;0
40000136;05/01/2016;Winter;Q1;January;2011;CHEVROLET;CRUZE;CAR;25000;22;Commute;A0H;Newfoundland and Labrador;Married;Female;Yes;35;1964;52;Baby Boomers;Not Bound;0
40000137;05/01/2016;Winter;Q1;January;2009;MAZDA;MAZDA5;CAR;15000;20;Commute;N8S;Southwestern Ontario;Married;Male;Yes;26;1972;44;Gen X;Not Bound;0
40000138;05/01/2016;Winter;Q1;January;2007;TOYOTA;TACOMA;TRUCK;8000;;Pleasure;K1C;Eastern Ontario;Married;Female;Yes;45;1955;61;Baby Boomers;Not Bound;0
40000139;05/01/2016;Winter;Q1;January;2010;TOYOTA;COROLLA;CAR;5000;;Pleasure;K1V;Eastern Ontario;Married;Male;No;4;1973;43;Gen X;Not Bound;0
40000140;05/01/2016;Winter;Q1;January;2009;HONDA;CIVIC;CAR;10000;10;Commute;L1L;Central Ontario;Single;Female;No;8;1991;25;Gen Y;Not Bound;0
40000141;05/01/2016;Winter;Q1;January;2007;CHRYSLER;300;CAR;10000;15;Commute;K0A;Eastern Ontario;Married;Female;Yes;38;1961;55;Baby Boomers;Not Bound;0
40000142;05/01/2016;Winter;Q1;January;2010;DODGE;CARAVAN;VAN;10000;10;Commute;K9H;Eastern Ontario;Single;Female;No;3;1987;29;Gen Y;Not Bound;0
40000143;05/01/2016;Winter;Q1;January;2006;TOYOTA;COROLLA;CAR;10000;;Pleasure;M1X;Metropolitan Toronto;Married;Male;Yes;41;1958;58;Baby Boomers;Not Bound;0
40000144;05/01/2016;Winter;Q1;January;2007;GMC;SIERRA;TRUCK;10000;;Pleasure;A0E;Newfoundland and Labrador;Married;Male;No;28;1972;44;Gen X;Not Bound;0
40000145;05/01/2016;Winter;Q1;January;2008;TOYOTA;TUNDRA;TRUCK;30000;15;Commute;K7M;Eastern Ontario;Single;Male;No;21;1978;38;Gen Y;Not Bound;0
