jeu_id,producteur,categorie,titre,description,nb_ressources,date_mise_a_jour,licence,date_instantane
pistes-cyclables-et-pietonnieres,Ville de Laval,Infrastructures,Pistes cyclables et piétonnières,Représentation filamentaire des pistes cyclables et piétonnières sur le territoire lavallois.,4,2026-04-10,Attribution (CC-BY 4.0),2026-07-11
cdu-zone-amenagement-ecologique-particuliere,Ville de Laval,"Infrastructures; Loi, justice et sécurité publique",Zone d'aménagement écologique particulière du CDU,Cartographie des zones d’aménagement écologiques particulières (ZAEP) dans le code de l’urbanisme (CDU) sur le territoire lavallois.,4,2026-04-10,Attribution (CC-BY 4.0),2026-07-11
zone-d-amenagement-ecologique-particuliere,Ville de Laval,"Environnement, ressources naturelles et énergie",Zone d’aménagement écologique particulière,"Cartographie et caractérisation des Zone d’aménagement écologique particulière (ZAEP) qui se retrouvent dans le 2e projet de schéma d’aménagement et de développement révisé de la Ville de Laval, adopté en mars 2017. Une ZAEP est un vaste territoire de planification intégrant des secteurs de développement potentiel ainsi que des zones de conservation et de mise en valeur de grands ensembles à forte valeur écologique. Ce territoire présente une forte densité d’éléments d’intérêt (bois, cours d’eau, écosystème forestier exceptionnel, milieux humides, etc.).",4,2026-04-10,Attribution (CC-BY 4.0),2026-07-11
permis-de-construction,Ville de Laval,Infrastructures,Permis de construction,Informations sur les permis de construction émis depuis 1991,3,2026-03-31,Attribution (CC-BY 4.0),2026-07-11
arrondissements-longueuil,Ville de Longueuil,"Loi, justice et sécurité publique",Arrondissements,Liste d'arrondissements du territoire de la Ville de Longueuil et de ses délimitations.,3,2026-02-09,Attribution (CC-BY 4.0),2026-07-11
bi,Ville de Longueuil,Société et culture,Bibliothèques,Cartographie des bibliothèques sur le territoire de la Ville de Longueuil,3,2026-02-09,Attribution (CC-BY 4.0),2026-07-11
bornes-paiement,Ville de Longueuil,Transport,Bornes paiement,Cartographie des bornes de paiement sur le territoire de la Ville de Longueuil.,3,2026-02-09,Attribution (CC-BY 4.0),2026-07-11
bornes-electriques,Ville de Longueuil,Transport,Bornes électriques,Cartographie des bornes électriques sur le territoire de la Ville de Longueuil.,3,2026-02-09,Attribution (CC-BY 4.0),2026-07-11
casernes-d-incendie,Ville de Longueuil,"Loi, justice et sécurité publique",Casernes d’incendie,Cartographie des casernes de pompier de l'agglomération Longueuil.,3,2026-02-09,Attribution (CC-BY 4.0),2026-07-11
postes-de-police,Ville de Longueuil,"Loi, justice et sécurité publique",Postes de police,Cartographie des postes de police de l'agglomération Longueuil.,3,2026-02-09,Attribution (CC-BY 4.0),2026-07-11
sites-archeologiques,Ville de Longueuil,"Tourisme, sports et loisirs",Sites archéologiques,"L'ensemble des lieux situés sur le territoire de la Ville de Longueuil qui renferment des biens archéologiques et qui sont régis par la Loi sur les biens culturels (RLRQ, chapitre B-4).",3,2026-02-09,Attribution (CC-BY 4.0),2026-07-11
stations-bixi,Ville de Longueuil,Transport,Stations Bixi,Localisation des stations Bixi situées sur le territoire de la Ville de Longueuil. Les 7 stations Bixi situées à Longueuil font partie du réseau de vélopartage géré par l'organisme à but non lucratif BIXI-Montréal.,3,2026-02-09,Attribution (CC-BY 4.0),2026-07-11
utilisation-du-sol,Ville de Longueuil,"Loi, justice et sécurité publique",Utilisation du sol,Diffusion cartographique des données sur l'utilisation socioéconomique des sols pour le territoire de la Ville de Longueuil.,3,2026-02-09,Attribution (CC-BY 4.0),2026-07-11
voies-ferrees,Ville de Longueuil,Infrastructures; Transport,Voies ferrées,Cartographie des voies ferrées sur le territoire de la Ville de Longueuil.,3,2026-02-09,Attribution (CC-BY 4.0),2026-07-11
zonage,Ville de Longueuil,"Infrastructures; Loi, justice et sécurité publique",Zonage,Les limites de zonage municipal de la Ville de Longueuil sont utilisées pour des fins de gestion des règlements d'urbanisme.,3,2026-02-09,Attribution (CC-BY 4.0),2026-07-11
zones-industrielles,Ville de Longueuil,Économie et entreprises,Zones industrielles,Cartographie des zones industrielles sur le territoire de la Ville de Longueuil.,3,2026-02-09,Attribution (CC-BY 4.0),2026-07-11
vmtl-arbres,Ville de Montréal,"Environnement, ressources naturelles et énergie",Arbres publics sur le territoire de la Ville,"Données sur les arbres appartenant à la municipalité, désignés du « domaine public » : les arbres de rue et hors rue (parcs et places publiques). Veuillez noter que dans plusieurs cas, les données que possède la Ville sur la localisation spatiale des arbres peuvent être imprécises ou pas à jour. De plus, dans certains arrondissements, les arbres de parcs ne sont pas indiqués.",6,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
vmtl-toponym-elles,Ville de Montréal,Société et culture,Banque de nom Toponym'Elles,Banque de noms dédiée à la représentation féminine pour découvrir des centaines de femmes qui ont marqué notre histoire. Lire la [démarche](https://montreal.ca/toponymie/toponym-elles) qui a mené à la banque de noms.,2,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
vmtl-calendrier-seances-comite-executif-conseil-municipal-conseil-agglomeration,Ville de Montréal,Gouvernement et finances,"Calendrier des séances du comité exécutif, conseil municipal et conseil d'agglomération","Cet ensemble de données présentent le calendrier des séances du comité exécutif, conseil municipal et conseil d'agglomération tels que diffusés sur le [calendrier des événements de la Ville](https://montreal.ca/calendrier).",1,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
vmtl-cyclistes,Ville de Montréal,Infrastructures; Transport,Compteurs cyclistes permanents,"Les jeux de données analysés proviennent de détecteurs de comptage vélo installés sur différents sites par le SUM-DIGD. Ces capteurs enregistrent le nombre de passages de cyclistes à chaque minute, permettant une observation fine de la fréquentation. Sur certains emplacements, les détecteurs fournissent également des données de vitesse, enrichissant l’analyse comportementale. Afin de faciliter l’interprétation et de dégager des tendances, les données brutes sont agrégées de plusieurs façons : - 15min - 1hr - quotidien - mensuel - annuel Cette méthodologie permet de suivre l’évolution du trafic cycliste, d’identifier les variations saisonnières et d’évaluer l’impact d’aménagements ou d’événements spécifiques. L’agrégation est réalisée à l’aide de traitements automatisés, garantissant la cohérence des séries temporelles et la qualité des analyses.",22,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
vmtl-info-travaux,Ville de Montréal,Infrastructures; Transport,Entraves et travaux en cours (anciennement Info-travaux),"Renseignements sur la nature, la durée ainsi que sur les entraves qu'occasionnent les travaux en cours des grands chantiers sur le réseau routier de la Ville de Montréal.",3,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
vmtl-frequentation-du-portail-de-donnees-ouvertes,Ville de Montréal,Gouvernement et finances,Fréquentation du portail de données ouvertes,"Ensemble de données contenant la fréquentation du portail de données ouvertes, à savoir le nombre de visiteurs et de pages vues par jour de l'année.",3,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
vmtl-interventions-service-securite-incendie-montreal,Ville de Montréal,"Loi, justice et sécurité publique",Interventions des pompiers de Montréal,"Ensemble de données listant les interventions réalisées par le Service de sécurité incendie de Montréal (SIM) avec notamment la location des interventions et les unités déployées depuis 2005. Ces données sont tirées du système de répartition assisté par Poste de travail (RAO), un sous-système central du système de gestion des interventions qui permet la gestion en temps réel, la répartition des véhicules et du suivi opérationnel des interventions. Ces données sont collectées pour produire des rapports requis par le ministère de la Sécurité publique et nécessaire pour le SIM. Il permet également de compiler des statistiques afin de diffuser des informations aux citoyens, aux médias et aux assureurs.",9,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
vmtl-rsqa-indice-qualite-air,Ville de Montréal,"Environnement, ressources naturelles et énergie",RSQA - indice de la qualité de l'air temps réel (quotidien),"La Ville de Montréal mesure la qualité de l’air sous la forme d’une valeur numérique appelée « indice de la qualité de l’air (IQA) ». Le présent ensemble de données permet d'accéder aux valeurs quotidiennes de l'IQA, mises à jour à toutes les heures, environ 50 minutes après l'heure. Par exemple, les données de 13h sont disponibles vers 13h50, et ce, pour les trois ressources. ***Note :** les systèmes de l'IQA ne changent pas d'heure : ils utilisent toujours l'heure normale de l'Est (HNE) et non l'heure avancée de l'Est (HAE). Ainsi, dans l'exemple ci-dessus, vers 13h50 HAE, les données disponibles les plus récentes seront celles de 12h HNE.* Les valeurs historiques, mises à jour à quotidiennement, sont disponibles [ici](rsqa-iqa-historique). La [liste des stations](rsqa-liste-des-stations) et [secteurs](rsqa-secteurs-geographiques) liés aux données du RSQA est également disponible.",3,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
vmtl-toponymes,Ville de Montréal,Société et culture,Répertoire historique des toponymes,Liste des toponymes utilisés à la Ville qui inclut l'origine de plus de 6000 noms de rues et lieux publics répartis dans les 19 arrondissements de Montréal. Voir site web [montreal.ca](https://montreal.ca/toponymie/) pour outil de recherche.,2,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
vmtl-depistage-entrees-service-plomb,Ville de Montréal,Infrastructures,Résultats du dépistage des entrées de service en plomb réalisé par un Palintest,"Cet ensemble de données présente les résultats du dépistage par Palintest permettant de détecter la présence ou l’absence d’une entrée d’eau en plomb. L’eau potable distribuée à Montréal est d’excellente qualité. Toutefois, la tuyauterie de certains bâtiments contient du plomb qui peut se dissoudre et se retrouver dans l'eau du robinet. Pour plus d’information, visitez [montreal.ca et cherchez « plomb »](https://montreal.ca/recherche?q=plomb).",2,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
vmtl-statistiques-utilisation-site-web-ville-de-montreal,Ville de Montréal,Non classé,Statistiques d'utilisation du site web de la Ville de Montréal (montreal.ca),Ensemble de données contenant la fréquentation du portail Montreal.ca à savoir le nombre de visiteurs et de pages vues par jour de l'année.,3,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
vmtl-nombre-telechargment-donnees,Ville de Montréal,Gouvernement et finances,Téléchargement quotidien des ressources à partir du site des Données ouvertes,Ce jeu de donnée contient la liste des ressources présentes sur le site web des Données ouvertes de Montréal et comptabilise le nombre de fois où ils ont été téléchargés quotidiennement depuis le mois de juillet 2023.,1,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
vque_31,Ville de Québec,"Environnement, ressources naturelles et énergie",Arbres non-répertoriés,Cartographie des arbres non-répertoriés de la Ville de Québec.,4,2026-07-10,Attribution (CC-BY 4.0),2026-07-11
vque_26,Ville de Québec,"Environnement, ressources naturelles et énergie",Arbres répertoriés,Cartographie des arbres répertoriés de la Ville de Québec.,4,2026-07-10,Attribution (CC-BY 4.0),2026-07-11
vque_53,Ville de Québec,Infrastructures; Transport,Intersection de voie publique,Cartographie des intersections avec dispositif de contrôle de circulation.,4,2026-07-10,Attribution (CC-BY 4.0),2026-07-11
vque_14,Ville de Québec,Infrastructures; Société et culture,Lieux publics,Cartographie des lieux et infrastructures administrés par la Ville de Québec et certaines institutions privées.,4,2026-07-10,Attribution (CC-BY 4.0),2026-07-11
vque_18,Ville de Québec,Infrastructures; Transport,Voies publiques,Cartographie du centre de chaussées des voies publiques de la Ville de Québec.,4,2026-07-10,Attribution (CC-BY 4.0),2026-07-11
vque_82,Ville de Québec,"Environnement, ressources naturelles et énergie",Arbres potentiellement remarquables,Cartographie de l’inventaire des arbres « potentiellement remarquables » sur le territoire de la ville de Québec.,4,2026-07-05,Attribution (CC-BY 4.0),2026-07-11
vque_28,Ville de Québec,Infrastructures,Bornes-fontaines,Cartographie des bornes-fontaines de la Ville de Québec,5,2026-07-05,Attribution (CC-BY 4.0),2026-07-11
hydrographie-bassins-versants,Ville de Québec,"Environnement, ressources naturelles et énergie",Hydrographie - Bassins Versants,Cartographie des bassins versants sur le territoire de la Ville de Québec.,4,2026-07-05,Attribution (CC-BY 4.0),2026-07-11
hydrographie,Ville de Québec,"Environnement, ressources naturelles et énergie",Hydrographie - Cours d'eau linéaires,Cartographie des cours d'eaux linéaires sur le territoire de la ville de Québec.,8,2026-07-05,Attribution (CC-BY 4.0),2026-07-11
hydrographie-cours-d-eau-surfaciques,Ville de Québec,"Environnement, ressources naturelles et énergie",Hydrographie - Cours d'eau surfaciques,Cartographie des centres des cours d'eau et des cours d'eau surfaciques sur le territoire de la ville de Québec.,8,2026-07-05,Attribution (CC-BY 4.0),2026-07-11
infrastructure-pietonne,Ville de Québec,Infrastructures; Transport,Infrastructure piétonne,Ensemble des infrastructures pour piétons. Trottoirs.,4,2026-07-05,Attribution (CC-BY 4.0),2026-07-11
permis-delivres-ville-de-quebec,Ville de Québec,Gouvernement et finances; Infrastructures,Permis délivrés à la Ville de Québec,Informations sur les permis délivrés à la Ville de Québec,3,2026-07-05,Attribution (CC-BY 4.0),2026-07-11
sag_entrave_a_la_circulation,Ville de Saguenay,Transport,Chantiers - 511,"Données des entraves à la circulation (fermeture de rue, travaux, tempêtes...)",5,2026-07-11,Attribution (CC-BY 4.0),2026-07-11
sag_adresse_ponctuelle,Ville de Saguenay,Infrastructures,Adresse ponctuelle,Ensemble des adresses civiques et leur localisation ponctuelle sur le territoire de la ville de Saguenay,4,2026-07-05,Attribution (CC-BY 4.0),2026-07-11
sag_batiment,Ville de Saguenay,Infrastructures,Bâtiment,"Ensemble des bâtiments, principaux, accessoires et agricoles, avec adresses sur le territoire de la ville de Saguenay. ###Utilisation du bâtiment: * Résidentielle * Industries manufacturières * Transports, communication et services publics * Commerciale * Services * Culturelle, récréative et de loisirs * Production et extraction de richesses naturelles * Immeubles non exploités et étendues d’eau ###Catégorie du bâtiment: * Bâtiment principal * Bâtiment accessoire * Bâtiment agricole",4,2026-07-05,Attribution (CC-BY 4.0),2026-07-11
sag-reseau-routier,Ville de Saguenay,Infrastructures,Réseau routier,Ensemble du réseau routier de la ville de Saguenay,4,2026-07-05,Attribution (CC-BY 4.0),2026-07-11
sag_district-electoral,Ville de Saguenay,Gouvernement et finances,Districts électoraux,Ensemble des districts électoraux qui couvrent le territoire de la ville de Saguenay.,4,2026-05-04,Attribution (CC-BY 4.0),2026-07-11
sag_batiments-municipaux,Ville de Saguenay,Infrastructures,Bâtiments municipaux,"Ensemble des bâtiments municipaux de la ville de Saguenay. Utilisation du bâtiment: - Culturelle, récréative et de loisirs - Transports, communication et services publics",4,2026-05-03,Attribution (CC-BY 4.0),2026-07-11
sag_inventaire-des-arbres-repertories,Ville de Saguenay,Non classé,Inventaire des arbres répertoriés,Localisation et description des arbres inventoriés dans les emprises municipales et les terrains appartenant à la ville de Saguenay,4,2026-05-03,Attribution (CC-BY 4.0),2026-07-11
sag_piste-cyclable,Ville de Saguenay,Non classé,Piste cyclable,"Réseau cyclable sur le territoire de la ville de Saguenay. ###Code identifiant le type de revêtement de la voie cyclable: * A = Asphalte * B = Bois * C = Béton * G = Gravier * P = Criblure de pierre * X = Autre ###Codes identifiant le type de voie cyclable: * 1 = Chaussée désignée (circulation sur la même voie que les véhicules) * 2 = Accotement asphalté (en milieu rural) * 3 = Bande cyclable (en milieu urbain) * 4 = Piste cyclable sur rue (réseau urbain) * 5 = Piste cyclable en site propre * 6 = Piste cyclable sur trottoir * 7 = Sentier polyvalent * T = Traversier __NB__ Certains segments du réseau cyclable classés ""Piste cyclable en site propre"" peuvent en réalité comporter des sections de type ""Sentier polyvalent""",4,2026-05-03,Attribution (CC-BY 4.0),2026-07-11
sag_bornes-incendie,Ville de Saguenay,Infrastructures,Borne incendie,Ensemble des bornes d'incendie qui couvrent le territoire de la ville de Saguenay.,4,2025-11-25,Attribution (CC-BY 4.0),2026-07-11
sag_grande-affectation,Ville de Saguenay,"Agriculture et alimentation; Environnement, ressources naturelles et énergie; Loi, justice et sécurité publique",Grandes affectations du territoire,Grandes affectations du territoire du Schéma d’aménagement et de développement de la ville de Saguenay,4,2025-05-28,Attribution (CC-BY 4.0),2026-07-11
sag_parcs-et-espaces-verts,Ville de Saguenay,"Tourisme, sports et loisirs",Parcs et espaces verts,Ensemble des parcs et espaces verts sur le territoire de la ville de Saguenay. ###Type: * Parc * Espace vert * Équipement sportif isolé * Aménagement isolé * Jardin communautaire ###Sous-type: * Espace commémoratif * Espace vert non aménagé * Parc sportif * Parc historique * Espace spécialisé * Parc linéaire * Parc école * Parc urbain * Parc de voisinage * Parc de quartier * Espace vert aménagé * Récréation et détente,4,2025-03-10,Attribution (CC-BY 4.0),2026-07-11
sag_stationnements-pour-personnes-mobilite-reduite,Ville de Saguenay,Infrastructures,Stationnements réservés aux personnes à mobilité réduite,Ensemble des stationnements pour personnes handicapées qui recouvrent le territoire de la ville de Saguenay,4,2024-08-15,Attribution (CC-BY 4.0),2026-07-11
milieux-humides-rci,Ville de Sherbrooke - Données géomatiques,"Environnement, ressources naturelles et énergie",Milieux humides RCI,"Milieux humides et aires d'influence visés par le Règlement de contrôle intérimaire (RCI) Plan nature modifié par le règlement 1274-2. Attributs : CMH_ID - Identifiant du complexe de milieux humides TYPE - Milieu humide ou aire d'influence INFORCI - Information supplémentaire sur le Règlement de contrôle intérimaire Source : La délimitation originale des milieux humides provient de Canards Illimités Canada et le ministère de l'Environnement et Lutte contre les changements climatiques (MELCC), 2020. Cartographie détaillée des milieux humides des secteurs habités du sud du Québec. Des modifications ont été apportées aux données sources afin de produire la présente couche de données ""Milieux humides RCI"".",6,2026-06-02,Attribution (CC-BY 4.0),2026-07-11
cde79f04c7d649b8860594fd5c50a8ef_0,Ville de Sherbrooke - Données géomatiques,Gouvernement et finances,Périmètre urbain,Limite prévue de l'expansion urbaine sur le territoire de la Ville de Sherbrooke. Attribut : ID - Identifiant unique,6,2026-06-01,Attribution (CC-BY 4.0),2026-07-11
803c984344a04e898cf31e38fa53be82_0,Ville de Sherbrooke - Données géomatiques,Infrastructures; Transport,Rues projetées,Tracés prévus de nouvelles rues ou de prolongements de rues. Attribut : ID - Identifiant unique,6,2026-06-01,Attribution (CC-BY 4.0),2026-07-11
1233578616d344b897b544b4463498ce_0,Ville de Sherbrooke - Données géomatiques,"Environnement, ressources naturelles et énergie",Secteurs de collecte des matières résiduelles,"Secteurs et journées de collecte des déchets, des matières recyclables et des matières compostables. Attributs : ID - Identifiant unique JOUR1 - Journée de collecte du secteur (voir aussi JOUR2 et JOUR3) JOUR2 - Journée de collecte du secteur (voir aussi JOUR1 et JOUR3) JOUR3 - Journée de collecte du secteur (voir aussi JOUR1 et JOUR2) CALENDRIER - Hyperlien vers le calendrier de collecte du secteur",6,2026-06-01,Attribution (CC-BY 4.0),2026-07-11
180087a8154f410c9ce53491f6b550c1_0,Ville de Sherbrooke - Données géomatiques,Infrastructures; Transport,Segments de rue,Segments de rue du réseau routier. Attributs : ID - Identifiant unique TOPONYMIE - Nom complet de la rue NORTE - Numéro de la route NUMEROCIVIQUEORIGINEGAUCHE - Numéro civique à l'origine du segment du côté gauche selon le sens de numérisation NUMEROCIVIQUEORIGINEDROITE - Numéro civique à l'origine du segment du côté droit selon le sens de numérisation NUMEROCIVIQUEDESTINATIONGAUCHE - Numéro civique à destination du segment du côté gauche selon le sens de numérisation NUMEROCIVIQUEDESTINATIONDROITE - Numéro civique à destination du segment du côté droit selon le sens de numérisation NOMGENERIQUE - Nom abrégé de la rue TYPERUE - Type de rue TYPESEGMENTRUE - Classe hiérarchique du segment dans le réseau VITESSE - Limite de vitesse affichée TYPESENSUNIQUE - Indication relative à la présence d'un sens unique MUNICIPALITE - Code de la municipalité CIRCULATIONLOURDE - Indication relative à la circulation lourde,6,2026-06-01,Attribution (CC-BY 4.0),2026-07-11
6e8cb127b3474a93b1184830919cf999_0ffd4716194_4,Ville de Sherbrooke - Données géomatiques,"Infrastructures; Tourisme, sports et loisirs",Sentiers pédestres,Sentiers aménagés pour la randonnée pédestre. Attribut : ID - Identifiant unique,6,2026-06-01,Attribution (CC-BY 4.0),2026-07-11
728d843955a744c78dd6cd4b26b863c7_0,Ville de Sherbrooke - Données géomatiques,Infrastructures; Transport,Stationnements publics,Stationnements publics municipaux. Attributs : ID - Identifiant unique NOM - Nom du stationnement NOMBREPLACE - Nombre de places de stationnement,6,2026-06-01,Attribution (CC-BY 4.0),2026-07-11
04880bdf6ffa40ababfa900c2ef45b3c_0,Ville de Sherbrooke - Données géomatiques,Infrastructures; Transport,Travaux,"Travaux en cours dans la journée courante sur le territoire de la Ville de Sherbrooke. Attributs : ID - Identifiant unique MUNICIPALITE - Code de la municipalité TYPE - Type de travaux SOUSTYPE - Sous-type des travaux DESCRIPTION - Description des travaux REALISATION - Unité de réalisation des travaux LOCALISATION - Rue touchée par les travaux INTERSECTION - Intersection touchée par les travaux NO_CIVIQUE - Numéro civique concerné par les travaux VOIE_DE - Voie transversale à partir de laquelle la rue est touchée (voir LOCALISATION) VOIE_A - Voie transversale jusqu'à laquelle la rue est touchée (voir LOCALISATION) DATE_DEBUT - Date de début des travaux (UTC ou local selon les différents formats offerts) DATE_FIN - Date de fin des travaux (UTC ou local selon les différents formats offerts) CIRCULATION - Effet sur la circulation SIGNALEUR - Présence de signaleurs VITESSE - Modification de la limite de vitesse POLICE - Présence policière accrue COUPUREEAU - Coupure de l'alimentation en eau potable PERTEACCES - Perte temporaire d’accès aux entrées véhiculaires TRANSPORTCOMMUN - Perturbation possible du transport en commun ECOLE - Présence d'une école ou d'un corridor scolaire COMMERCE - Présence de commerces TRAVAUXSUBSEQUENT - Travaux subséquents prévus REMARQUE - Précisions supplémentaires DATEDEBUTHE - Date de début des travaux (heure de l'Est) ""AAAA-MM-JJ hh:mm"" DATEFINHE - Date de fin des travaux (heure de l'Est) ""AAAA-MM-JJ hh:mm""",6,2026-06-01,Attribution (CC-BY 4.0),2026-07-11
ae984df25d12471f9f3de4b84b3e2a53_0,Ville de Sherbrooke - Données géomatiques,Gouvernement et finances,Zonage,"Zonage municipal en vigueur. Pour plus de détails, consultez lesrèglements municipaux d'urbanisme. Attributs : ID - Identifiant unique MUNICIPALITE - Code de la municipalité NO_ZONE - Identifiant de la zone GRILLEUSAGE - Hyperlien vers la grille des usages de la zone",6,2026-06-01,Attribution (CC-BY 4.0),2026-07-11
df185eece9b04f2c897f3b41210d92da_0,Ville de Sherbrooke - Données géomatiques,Gouvernement et finances,Zones de développement urbain,Zones de développement situées à l'intérieur du périmètre d'urbanisation. Attributs : ID - Identifiant unique TYPE - Type de zone,6,2026-06-01,Attribution (CC-BY 4.0),2026-07-11
82ceb448fe9847ef8bc444d8da0adbc8_0,Ville de Sherbrooke - Données géomatiques,"Environnement, ressources naturelles et énergie; Loi, justice et sécurité publique",Zones inondables,Zones pouvant être occasionnellement inondées. Attributs : ID - Identifiant unique MUNICIPALITE - Code de la municipalité TYPE - Type de zones selon la récurrence d'inondation,6,2026-06-01,Attribution (CC-BY 4.0),2026-07-11
