id	module	archive_path	path_fr	path_en	title_fr	title_en	description_fr	description_en	source_url	license	format	delimiter	rows	cols
module04-afdr	4	data/afdr_clientele_prestations_2022_12.csv	module_04/data/afdr_clientele_prestations_2022_12.csv	en/module_04/data/afdr_clientele_prestations_2022_12.csv	Aide financière de dernier recours, décembre 2022	Last-resort financial assistance, December 2022	Tableau agrégé de la clientèle et des prestations au Québec.	Aggregated table of clients and benefits in Quebec.	https://www.donneesquebec.ca/recherche/dataset/aide-financiere-de-dernier-recours-afdr-clientele-et-prestations	CC BY 4.0	csv	,	43	12
module04-installations	4	data/installations_sportives_sherbrooke.csv	module_04/data/installations_sportives_sherbrooke.csv	en/module_04/data/installations_sportives_sherbrooke.csv	Installations sportives de Sherbrooke	Sherbrooke sports facilities	Inventaire de 859 installations sportives et récréatives.	Inventory of 859 sports and recreational facilities.	https://www.donneesquebec.ca/recherche/dataset/b6498f3436974ecbb8fa636a7d9c0b2f_0	CC BY 4.0	csv	,	859	8
module04-metadonnees	4	data/metadonnees_installations_sherbrooke.json	module_04/data/metadonnees_installations_sherbrooke.json	en/module_04/data/metadonnees_installations_sherbrooke.json	Métadonnées des installations de Sherbrooke	Sherbrooke facility metadata	Métadonnées ArcGIS associées à l'inventaire des installations.	ArcGIS metadata associated with the facility inventory.	https://www.donneesquebec.ca/recherche/dataset/b6498f3436974ecbb8fa636a7d9c0b2f_0	CC BY 4.0	json		84	NA
module05-velos	5	data/comptages_velos_laval_2016_06.csv	module_05/data/comptages_velos_laval_2016_06.csv	en/module_05/data/comptages_velos_laval_2016_06.csv	Comptages vélos de Laval	Laval bicycle counts	Comptages aux quinze minutes à la boucle Chevillon en juin 2016.	Fifteen-minute counts at the Chevillon loop in June 2016.	https://www.donneesquebec.ca/recherche/dataset/comptages-velos	CC BY 4.0	csv	,	2688	5
module05-air	5	data/qualite_air_quebec_vieux_limoilou_2025_07.csv	module_05/data/qualite_air_quebec_vieux_limoilou_2025_07.csv	en/module_05/data/qualite_air_quebec_vieux_limoilou_2025_07.csv	Qualité de l'air à Québec, juillet 2025	Quebec City air quality, July 2025	Mesures horaires à la station Québec - Vieux-Limoilou.	Hourly measurements at the Quebec City Vieux-Limoilou station.	https://www.donneesquebec.ca/recherche/dataset/rsqaq-donnees-horaires-continues	CC BY 4.0	csv	,	744	7
module05-circulation	5	data/debits_circulation_gatineau_2016_2023.csv	module_05/data/debits_circulation_gatineau_2016_2023.csv	en/module_05/data/debits_circulation_gatineau_2016_2023.csv	Débits de circulation de Gatineau	Gatineau traffic volumes	Extrait de mesures de circulation routière de 2016 à 2023.	Extract of road traffic measurements from 2016 to 2023.	https://www.donneesquebec.ca/recherche/dataset/debits-de-circulation	CC BY 4.0	csv	,	1200	7
module06-organisations	6	data/organisations_donnees_quebec.csv	module_06/data/organisations_donnees_quebec.csv	en/module_06/data/organisations_donnees_quebec.csv	Organisations de Données Québec	Données Québec organizations	Table des 142 organisations présentes dans l'extrait relationnel.	Table of 142 organizations in the relational extract.	https://www.donneesquebec.ca/recherche/api/3/action/package_search	CC BY 4.0	csv	,	142	5
module06-jeux	6	data/jeux_donnees_quebec.csv	module_06/data/jeux_donnees_quebec.csv	en/module_06/data/jeux_donnees_quebec.csv	Jeux de Données Québec	Données Québec datasets	Table de 312 jeux de données québécois.	Table of 312 Quebec datasets.	https://www.donneesquebec.ca/recherche/api/3/action/package_search	CC BY 4.0	csv	,	312	8
module06-ressources	6	data/ressources_donnees_quebec.csv	module_06/data/ressources_donnees_quebec.csv	en/module_06/data/ressources_donnees_quebec.csv	Ressources de Données Québec	Données Québec resources	Table de 3 143 ressources liées aux jeux de données.	Table of 3,143 resources linked to datasets.	https://www.donneesquebec.ca/recherche/api/3/action/package_search	CC BY 4.0	csv	,	3143	7
module06-etiquettes	6	data/etiquettes_donnees_quebec.csv	module_06/data/etiquettes_donnees_quebec.csv	en/module_06/data/etiquettes_donnees_quebec.csv	Étiquettes de Données Québec	Données Québec tags	Table de 2 101 associations entre jeux et étiquettes.	Table of 2,101 links between datasets and tags.	https://www.donneesquebec.ca/recherche/api/3/action/package_search	CC BY 4.0	csv	,	2101	2
module07-incidents	7	data/incidents_securite_sherbrooke_agreges.csv	module_07/data/incidents_securite_sherbrooke_agreges.csv	en/module_07/data/incidents_securite_sherbrooke_agreges.csv	Incidents agrégés de Sherbrooke	Aggregated Sherbrooke incidents	Incidents agrégés par mois et par type, sans coordonnées ni dates exactes.	Incidents aggregated by month and type, without coordinates or exact dates.	https://www.donneesquebec.ca/recherche/dataset/64d19d62f0804f5896e4b24c32aea49d_0	CC BY 4.0	csv	,	258	4
module07-population	7	data/population_sherbrooke_2022_2024.csv	module_07/data/population_sherbrooke_2022_2024.csv	en/module_07/data/population_sherbrooke_2022_2024.csv	Population de Sherbrooke, 2022 à 2024	Sherbrooke population, 2022 to 2024	Estimations annuelles de population utilisées pour calculer des taux.	Annual population estimates used to calculate rates.	https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1710015501	Licence ouverte du gouvernement du Canada	csv	,	3	3
module07-sondage	7	data/sondage_utilisateurs_donnees_quebec_2020_2025.csv	module_07/data/sondage_utilisateurs_donnees_quebec_2020_2025.csv	en/module_07/data/sondage_utilisateurs_donnees_quebec_2020_2025.csv	Sondage des utilisateurs de Données Québec	Données Québec user survey	Réponses agrégées à trois questions de la consultation publique.	Aggregated responses to three public consultation questions.	https://www.donneesquebec.ca/recherche/dataset/sondage	CC BY 4.0	csv	,	168	5
module08-catalogue	8	data/catalogue_donnees_quebec.html	module_08/data/catalogue_donnees_quebec.html	en/module_08/data/catalogue_donnees_quebec.html	Catalogue Données Québec	Données Québec catalog	Instantané HTML de six fiches réelles provenant de six villes.	HTML snapshot of six real records from six cities.	https://www.donneesquebec.ca/page-api/	CC BY 4.0	html		6	4
module08-irregular	8	data/catalogue_donnees_quebec_irregulier.html	module_08/data/catalogue_donnees_quebec_irregulier.html	en/module_08/data/catalogue_donnees_quebec_irregulier.html	Catalogue avec catégories absentes	Catalog with missing categories	Instantané HTML de quatre fiches, dont deux sans catégorie.	HTML snapshot of four records, including two without a category.	https://www.donneesquebec.ca/page-api/	CC BY 4.0	html		4	4
module08-evenements	8	data/evenements_sit_quebec.html	module_08/data/evenements_sit_quebec.html	en/module_08/data/evenements_sit_quebec.html	Événements du SIT Québec	SIT Québec events	Instantané HTML de six événements annoncés dans six villes.	HTML snapshot of six events announced in six cities.	https://www.donneesquebec.ca/recherche/dataset/sit-quebec-evenements	CC BY 4.0	html		6	4
module09-consommation-eau	9	data/consommation_eau_municipalites_2023.csv	module_09/data/consommation_eau_municipalites_2023.csv	en/module_09/data/municipal_water_consumption_2023.csv	Consommation d'eau municipale, 2023	Municipal water consumption, 2023	Consommation résidentielle et eau distribuée dans 496 municipalités.	Residential consumption and distributed water in 496 municipalities.	https://www.donneesquebec.ca/recherche/dataset/sqeep-2019-2025	CC BY 4.0	csv	,	496	10
module09-validite	9	data/validite_audits_eau_2023.csv	module_09/data/validite_audits_eau_2023.csv	en/module_09/data/water_audit_validity_2023.csv	Validité des audits de l'eau, 2023	Water audit validity, 2023	Disponibilité et résultats de l'indice de validité pour 1 104 municipalités.	Availability and validity-index results for 1,104 municipalities.	https://www.donneesquebec.ca/recherche/dataset/sqeep-2019-2025	CC BY 4.0	csv	,	1104	7
module10-descriptions	10	data/descriptions_donnees_quebec.csv	module_10/data/descriptions_donnees_quebec.csv	en/module_10/data/quebec_dataset_descriptions.csv	Descriptions de Données Québec	Données Québec descriptions	Descriptions réelles de 89 jeux publiés par huit villes québécoises.	Real descriptions of 89 datasets published by eight Quebec cities.	https://www.donneesquebec.ca/page-api/	CC BY 4.0	csv	,	89	9
module10-evenements	10	data/evenements_touristiques_quebec.csv	module_10/data/evenements_touristiques_quebec.csv	en/module_10/data/quebec_tourism_events.csv	Événements touristiques québécois	Quebec tourism events	Échantillon équilibré de 151 événements touristiques.	Balanced sample of 151 tourism events.	https://www.donneesquebec.ca/recherche/dataset/sit-quebec-evenements	CC BY 4.0	csv	,	151	11
