Nom_exploitant;Raison_sociale;Description_infraction;Adresse_lieu_infraction;Type_etablissement;Information_etablissement;Date_infraction;Date_jugement;Date_publication;Amende;SOC_CD_LOI;SOC_NOM_LOI;SOC_CD_REGL;SOC_NOM_REGL;SOC_CD_ARTCL_INFRC;SOC_NOM_ARTCL_INFRC;SOC_CD_POURS;SOC_DESC_POURS;SOC_CD_REGRP_TYP_ENTT;SOC_DESC_REGRP_TYP_ENTT;
BOULANGERIE KASCHER DE QUALITE (1989) INC.;BOULANGERIE KASCHER DE QUALITE;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;5855 AVENUE VICTORIA MONTREAL, (QC) H3W2R6;EPICERIE/BOUCHERIE;;2022-01-20 00:00;2024-09-03 00:00;2024-09-03 00:00;1 400 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;20;DÉTAIL;
9184-1791 QUEBEC INC.;DEL MONACO;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;2968 BOULEVARD SAINT-CHARLES KIRKLAND, (QC) H9H3B7;EPICERIE/BOUCHERIE;;2022-01-21 00:00;2023-03-16 00:00;2023-03-16 00:00;1 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;20;DÉTAIL;
9271-7289 QUEBEC INC.;LA BELLE PROVINCE;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;3604 BOULEVARD SAINT-CHARLES KIRKLAND, (QC) H9H3C3;RESTAURANT;;2022-01-21 00:00;2023-03-16 00:00;2023-03-16 00:00;1 400 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;21;RESTAURATION;
9427-3901 QUEBEC INC.;BUFFALO BILL WINGS;LES PERSONNES AFFECTEES A LA PREPARATION DES PRODUITS, AU LAVAGE OU AU NETTOYAGE DU MATERIEL ET DE L'EQUIPEMENT DOIVENT: PORTER UN BONNET OU UNE RESILLE PROPRE QUI RECOUVRE ENTIEREMENT LES CHEVEUX: PORTER UN COUVRE-BARBE PROPRE QUI RECOUVRE ENTIEREMENT LA BARBE.;5248 CHEMIN QUEEN-MARY MONTREAL, (QC) H3W1X5;RESTAURANT SERVICE RAPIDE;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2022-02-07 00:00;2023-06-05 00:00;2023-06-05 00:00;750 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.3               ;PERSONNEL;3;VILLE DE MONTREAL;21;RESTAURATION;
4053320 CANADA INC.;SUPERMARCHE AKHAVAN;LE PRODUIT ALTERABLE A LA CHALEUR A L'EXCEPTION DES FRUITS ET LEGUMES FRAIS ENTIERS DOIT ETRE REFROIDI SANS RETARD ET MAINTENU CONSTAMMENT A UNE TEMPERATURE INTERNE ET AMBIANTE NE DEPASSANT PAS 4C JUSQU'A SA LIVRAISON AU CONSOMMATEUR, SAUF PENDANT LE TEMPS REQUIS POUR L'APPLICATION D'UN PROCEDE DE FABRICATION OU D'UN TRAITEMENT RECONNU EN INDUSTRIE ALIMENTAIRE ET QUI EXIGE UNE PLUS HAUTE TEMPERATURE.;6170 RUE SHERBROOKE OUEST MONTREAL, (QC) H4B1L8;EPICERIE/BOUCHERIE;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2022-02-07 00:00;2023-06-05 00:00;2023-06-05 00:00;1 500 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;1.4.1               ;TEMPERATURE DE CONSERVATION;3;VILLE DE MONTREAL;20;DÉTAIL;
9320-5508 QUEBEC INC.;RINO PIZZERIA;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;1545A BOULEVARD HENRI-BOURASSA OUEST MONTREAL, (QC) H3M1X6;RESTAURANT;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2022-02-10 00:00;2023-06-05 00:00;2023-06-05 00:00;2 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;21;RESTAURATION;
BOULANGERIE BRUNO INC.;BOULANGERIE BRUNO;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;1780 AVENUE DOLLARD MONTREAL, (QC) H8N1T8;PATISSERIE;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2022-02-11 00:00;2023-06-05 00:00;2023-06-05 00:00;2 500 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;20;DÉTAIL;
BOULANGERIE BRUNO INC.;BOULANGERIE BRUNO;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;1780 AVENUE DOLLARD MONTREAL, (QC) H8N1T8;PATISSERIE;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2022-02-11 00:00;2023-06-05 00:00;2023-06-05 00:00;3 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;20;DÉTAIL;
9234-9745 QUEBEC INC.;RESTO CAFE ROYAL;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;5473 AVENUE ROYALMOUNT 101 MONT-ROYAL, (QC) H4P1J3;RESTAURANT;;2022-02-15 00:00;2024-02-19 00:00;2024-02-19 00:00;2 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;21;RESTAURATION;
9391-8761 QUEBEC INC.;BUFFET CHINOIS MANDARIN;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;7373 BOULEVARD LANGELIER C-8 MONTREAL, (QC) H1S1V7;RESTAURANT;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2022-02-16 00:00;2023-03-20 00:00;2023-03-20 00:00;2 800 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;21;RESTAURATION;
9391-8761 QUEBEC INC.;BUFFET CHINOIS MANDARIN;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;7373 BOULEVARD LANGELIER C-8 MONTREAL, (QC) H1S1V7;RESTAURANT;L'exploitant, qui opérait à la date de l'infraction, a cessé ses opérations;2022-02-16 00:00;2023-03-20 00:00;2023-03-20 00:00;2 800 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;21;RESTAURATION;
156158 CANADA INC.;BOULANGERIE MAXIES CAVENDISH;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;5800 BOULEVARD CAVENDISH D2 COTE SAINT-LUC, (QC) H4W2T5;BOULANGERIE/PATISSERIE DE DEPOT;;2022-02-21 00:00;2023-06-05 00:00;2023-06-05 00:00;2 500 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;20;DÉTAIL;
HELAOUI FRERES INC.;BIONETTE;LE LIEU OU LE VEHICULE DOIT ETRE EXEMPT DE CONTAMINANTS, DE POLLUANTS, DE TOUTE ESPECE D'ANIMAUX Y COMPRIS LES INSECTES ET LES RONGEURS OU DE LEURS EXCREMENTS.;3131 BOULEVARD DE LA COTE-VERTU E1B MONTREAL, (QC) H4R1Y8;BOULANGERIE/PATISSERIE DE DEPOT;;2022-02-22 00:00;2023-12-08 00:00;2023-12-08 00:00;2 200 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.1.2               ;;3;VILLE DE MONTREAL;20;DÉTAIL;
HELAOUI FRERES INC.;BIONETTE;LES LIEUX, VEHICULES, EQUIPEMENTS, MATERIAUX ET USTENSILES SERVANT A LA PREPARATION AU CONDITIONNEMENT, A L'ENTREPOSAGE, AU TRANSPORT, A L'ETIQUETAGE ET AU SERVICE DES PRODUITS, AINSI QUE LES AUTRES INSTALLATIONS ET LOCAUX SANITAIRES, DOIVENT ETRE PROPRES.;3131 BOULEVARD DE LA COTE-VERTU E1B MONTREAL, (QC) H4R1Y8;BOULANGERIE/PATISSERIE DE DEPOT;;2022-02-22 00:00;2023-12-08 00:00;2023-12-08 00:00;2 000 $ ;P-29;Loi sur les produits alimentaires (RLRQ, chapitre P-29);r.1            ;REGLEMENT SUR LES ALIMENTS;2.2.1               ;INSALUBRITE;3;VILLE DE MONTREAL;20;DÉTAIL;
