country,continent,region,year,life_expectancy,fertility,population,gdp,infant_mortality,literacy,educ,oil_prod,net_users,area,roadways,country_code
Israel,Asia,Western Asia,1960,68.55,3.84,2089891,12313161088,32,NA,5.6,390,>60%,20770,0.8938854116514203,ISR
Italy,Europe,Southern Europe,1960,69.19,2.37,49714962,293540646267,44.2,NA,4.5,105700,>35%,301340,1.618437645184841,ITA
Jamaica,Americas,Caribbean,1960,65.91,5.42,1630914,8800,62,NA,6.1,0,>35%,10991,2.0126467109453188,JAM
Japan,Asia,Eastern Asia,1960,67.78,2,92500754,719165142029,30.4,NA,3.8,4666,>60%,377915,3.2024423481470703,JPN
Jordan,Asia,Western Asia,1960,53.3,7.69,888632,12100,107.5,NA,NA,22,>35%,89342,0.08062277540238634,JOR
Kazakhstan,Asia,Central Asia,1960,58.91,4.56,9995997,24300,NA,NA,3.1,1632000,>35%,2724900,0.03575103673529304,KAZ
Kenya,Africa,Eastern Africa,1960,47.42,7.95,8105440,2116484537,118.6,NA,6.7,0,>35%,580367,0.2772004610875532,KEN
Kiribati,Oceania,Micronesia,1960,45.84,6.95,41234,1800,NA,NA,12,0,>5%,811,0.8261405672009864,KIR
South Korea,Asia,Eastern Asia,1960,53.02,6.16,25074028,28928298962,80.2,NA,5,0,>60%,99720,1.0527777777777778,KOR
Kuwait,Asia,Western Asia,1960,62.15,7.25,261962,70200,101.6,NA,3.8,2619000,>60%,17818,0.3708609271523179,KWT
Kyrgyz Republic,Asia,Central Asia,1960,56.09,5.17,2172500,3400,NA,NA,6.8,1000,>15%,199951,0.17004166020675066,KGZ
Lao,Asia,South-Eastern Asia,1960,42.13,5.96,2119944,5300,155,NA,2.8,0,>0%,236800,0.16709459459459458,LAO
Latvia,Europe,Northern Europe,1960,70.37,1.9,2132368,24700,35,NA,5,0,>60%,64589,1.1215532056542135,LVA
Lebanon,Asia,Western Asia,1960,62.9,5.74,1804927,18200,57.6,NA,2.2,0,>60%,10400,0.6701923076923076,LBN
Lesotho,Africa,Southern Africa,1960,47.02,5.84,851412,112602724,143.3,NA,13,0,>5%,30355,0.19568440125185307,LSO
Liberia,Africa,Western Africa,1960,35.24,6.41,1120314,678395865,212,NA,2.8,0,>0%,111369,0.09517908933365658,LBR
Libya,Africa,Northern Africa,1960,44.59,7.54,1434576,14600,164.5,NA,NA,470000,>15%,1759540,0.05684667583572979,LBY
Lithuania,Europe,Northern Europe,1960,70.33,2.55,2770737,28400,52,NA,5.4,2000,>60%,65300,1.2889127105666156,LTU
Luxembourg,Europe,Western Europe,1960,68.99,2.35,314586,4302303281,33,NA,3.7,0,>60%,2586,1.1210363495746327,LUX
"Macao, China",Asia,Eastern Asia,1960,64.93,4.95,171456,98200,NA,NA,2.7,0,>35%,28,14.75,MAC
"Macedonia, FYR",Europe,Southern Europe,1960,60.85,3.72,1488664,14000,120,NA,NA,0,>35%,25713,0.5459495196982072,MKD
Madagascar,Africa,Eastern Africa,1960,41.96,7.3,5099371,2087989940,112,NA,2.7,0,>60%,587041,0.05872843634430985,MDG
Malawi,Africa,Eastern Africa,1960,38.51,6.91,3618604,347712093,218.2,NA,5.4,0,>0%,118484,0.130397353229128,MWI
Malaysia,Asia,South-Eastern Asia,1960,59.89,6.19,8160975,6631037036,67.4,NA,5.9,597500,>35%,329847,0.43778782283907386,MYS
Maldives,Asia,Southern Asia,1960,38.07,7.02,89875,14900,NA,NA,6.8,0,>0%,298,0.2953020134228188,MDV
Mali,Africa,Western Africa,1960,29.61,6.7,5263730,2200,237.4,NA,4.8,0,>60%,1240192,0.01812138765610486,MLI
Malta,Europe,Southern Europe,1960,68.32,3.53,312788,35900,36.4,NA,6.9,0,>35%,316,9.79746835443038,MLT
Mauritania,Africa,Western Africa,1960,43.91,6.78,858170,319353267,135,NA,3.7,6003,>5%,1030700,0.010311438827980983,MRT
Mauritius,Africa,Eastern Africa,1960,58.74,6.17,660023,19500,67.8,NA,3.5,0,>5%,2040,1.0534313725490196,MUS
Mexico,Americas,Central America,1960,57.34,6.78,38174114,94354817785,100.6,NA,5.1,2459000,>35%,1964375,0.19225453388482341,MEX
"Micronesia, Fed. Sts.",Oceania,Micronesia,1960,56.82,6.93,44539,3000,NA,NA,NA,0,>15%,702,0.3418803418803419,FSM
Moldova,Europe,Eastern Europe,1960,62.22,3.33,3003557,5000,NA,NA,8.4,0,>35%,33851,0.27626953413488525,MDA
Mongolia,Asia,Eastern Asia,1960,49.2,6.95,955514,12100,NA,NA,5.5,20850,>15%,1564116,0.03148679509703884,MNG
Montenegro,Europe,Southern Europe,1960,63.86,3.52,487416,16100,NA,NA,NA,0,>35%,13812,0.5620474949319433,MNE
Morocco,Africa,Northern Africa,1960,49.64,7.07,12328534,7532416437,145,NA,5.4,500,>35%,446550,0.13076923076923078,MAR
Mozambique,Africa,Eastern Africa,1960,38.17,6.6,7493278,1200,183,NA,5,0,>5%,799380,0.03794315594585804,MOZ
Namibia,Africa,Southern Africa,1960,47.07,6.15,602545,11400,102,NA,8.4,0,>5%,824292,0.05354655874374615,NAM
Nepal,Asia,Southern Asia,1960,39.8,5.99,10056945,1354713257,219.6,NA,4.7,0,>5%,147181,0.07367798832729767,NPL
Netherlands,Europe,Western Europe,1960,73.35,3.12,11418652,98359287391,16.4,NA,5.9,28120,>60%,41543,3.3530317983775846,NLD
New Caledonia,Oceania,Melanesia,1960,56.38,5.22,78058,38800,NA,NA,NA,0,>60%,18575,0.30266487213997306,NCL
New Zealand,Oceania,Australia and New Zealand,1960,71.28,3.54,2371999,36200,22.6,NA,7.4,39860,>60%,267710,0.35172388031825486,NZL
Nicaragua,Americas,Central America,1960,50.69,7.34,1774696,2103502588,134,NA,4.6,0,>5%,130370,0.18330137301526425,NIC
Niger,Africa,Western Africa,1960,36.82,7.05,3395212,1020197091,NA,NA,4.2,20000,>0%,1267000,0.014955801104972376,NER
Nigeria,Africa,Western Africa,1960,40.39,6.35,45211614,12836410903,165,NA,NA,2423000,>35%,923768,0.20914342129192612,NGA
Norway,Europe,Northern Europe,1960,73.66,2.88,3582016,38302651835,18.4,NA,6.9,1568000,>60%,323802,0.28989938295625106,NOR
Oman,Asia,Western Asia,1960,44.64,7.25,551737,538829577,164,NA,4.3,943500,>60%,309500,0.19463651050080774,OMN
Pakistan,Asia,Southern Asia,1960,46.79,6.6,44911810,8608436616,192,NA,2.1,98000,>5%,796095,0.3294280205251886,PAK
Panama,Americas,Central America,1960,61.62,5.87,1132924,1930103379,66.9,NA,3.5,0,>35%,75420,0.20070273137098912,PAN
Papua New Guinea,Oceania,Melanesia,1960,38.6,6.28,1966957,837055577,134.6,NA,NA,34210,>0%,462840,0.020199204908823782,PNG
Paraguay,Americas,South America,1960,66.35,6.5,1902871,1263290494,62.6,NA,4.8,0,>15%,406752,0.07881706789395013,PRY
Peru,Americas,South America,1960,48.95,6.88,10061519,16356280982,135.9,NA,2.8,69300,>35%,1285216,0.10945397505166447,PER
Philippines,Asia,South-Eastern Asia,1960,58.82,7.15,26273023,17990832237,67.9,NA,2.7,21000,>35%,300000,0.7105033333333334,PHL
Poland,Europe,Eastern Europe,1960,67.92,2.97,29716363,26500,57.8,NA,5.2,19260,>60%,312685,1.3177319027135936,POL
Portugal,Europe,Southern Europe,1960,64.23,3.16,8875311,20981025078,84.6,NA,5.6,0,>60%,92090,0.9002063199044413,PRT
Puerto Rico,Americas,Caribbean,1960,68.58,4.66,2355570,8883563977,NA,NA,NA,0,>35%,13790,1.9479332849891227,PRI
Qatar,Asia,Western Asia,1960,60.82,6.97,47309,132100,94,NA,2.5,1540000,>60%,11586,0.8484377697220784,QAT
Romania,Europe,Eastern Europe,1960,65.92,2.32,18613835,20800,69,NA,4.2,83350,>35%,238391,0.35313833156453056,ROU
Russia,Europe,Eastern Europe,1960,68.61,2.56,119860289,25400,NA,NA,4.1,10840000,>35%,17098242,0.07505958799740932,RUS
Rwanda,Africa,Eastern Africa,1960,43.07,8.19,2933424,623378345,127.9,NA,5.1,0,>5%,26338,0.17844938871592375,RWA
St. Lucia,Americas,Caribbean,1960,56.97,6.97,89901,11700,NA,NA,4.1,0,>60%,616,1.9642857142857142,LCA
St. Vincent and the Grenadines,Americas,Caribbean,1960,57.85,7.22,80948,107215633,NA,NA,5.1,0,>60%,389,2.1311053984575836,VCT
Samoa,Oceania,Polynesia,1960,51.45,7.65,108645,5200,92,NA,5.8,0,>5%,2831,0.825503355704698,WSM
Saudi Arabia,Asia,Western Asia,1960,47.62,7.22,4086539,53600,150,NA,5.1,9735000,>35%,2149690,0.10297856900297252,SAU
Senegal,Africa,Western Africa,1960,38.46,6.95,3177560,1870217818,126.3,NA,5.6,0,>15%,196722,0.07120708410853896,SEN
Serbia,Europe,Southern Europe,1960,63.33,2.63,7556730,13700,NA,NA,4.8,16840,>35%,77474,0.5711335415752381,SRB
Seychelles,Africa,Eastern Africa,1960,60.42,5.27,41538,48981400,73.6,NA,3.6,0,>35%,455,1.1164835164835165,SYC
Sierra Leone,Africa,Western Africa,1960,36.07,6.03,2181701,488526149,223.6,NA,2.9,0,>0%,71740,0.15751324226373015,SLE
Singapore,Asia,South-Eastern Asia,1960,65.02,5.82,1633718,3705795365,35.5,NA,3,0,>60%,697,4.913916786226686,SGP
Slovak Republic,Europe,Eastern Europe,1960,70.42,3.09,4137224,29700,33,NA,4.2,200,>60%,49035,0.8956051799734883,SVK
Slovenia,Europe,Southern Europe,1960,68.62,2.32,1586632,31000,37,NA,5.7,5,>60%,20273,1.923001035860504,SVN
Solomon Islands,Oceania,Melanesia,1960,50.55,6.39,117869,1900,131.8,NA,7.3,0,>5%,28896,0.048103543743078625,SLB
South Africa,Africa,Southern Africa,1960,49.01,6.17,17396367,38336071006,NA,NA,6,3000,>35%,1219090,0.6127636187648163,ZAF
Spain,Europe,Southern Europe,1960,69.23,2.77,30450994,113021529146,47.7,NA,5,6419,>60%,505370,1.3518313314996933,ESP
Sri Lanka,Asia,Southern Asia,1960,59.76,5.54,9896172,2708601390,72.7,NA,1.7,0,>15%,65610,1.738957475994513,LKA
Sudan,Africa,Northern Africa,1960,49.54,6.69,7527450,3292300613,107.4,NA,NA,64770,>15%,1861484,0.0063927490110041235,SDN
Suriname,Americas,South America,1960,60.58,6.61,289972,16300,NA,NA,NA,15000,>35%,163820,0.026272738371383227,SUR
Swaziland,Africa,Southern Africa,1960,44.78,6.72,349233,8500,141.7,NA,8.3,0,>15%,17364,0.20697995853489978,SWZ
Sweden,Europe,Northern Europe,1960,73.01,2.2,7479602,85028727553,16.3,NA,7,0,>60%,450295,1.2870762500138797,SWE
Switzerland,Europe,Western Europe,1960,71.46,2.52,5296120,58600,21.6,NA,5.2,0,>60%,41277,1.7313273735978874,CHE
Syria,Asia,Western Asia,1960,52.87,7.47,4592777,2203477369,121.8,NA,5.1,22660,>15%,185180,0.3773247650934226,SYR
Tajikistan,Asia,Central Asia,1960,57.1,6.24,2064035,2700,NA,NA,3.9,206,>15%,143100,0.19403913347309573,TJK
Tanzania,Africa,Eastern Africa,1960,45.57,6.81,10074490,2900,144.3,NA,6.2,0,>5%,947300,0.09128259263169007,TZA
Thailand,Asia,South-Eastern Asia,1960,55.46,6.15,27397178,8764726641,102.2,NA,5.8,232900,>15%,513120,0.35089842531961335,THA
Timor-Leste,Asia,South-Eastern Asia,1960,37.74,6.37,499525,5600,NA,NA,9.4,76490,>0%,14874,0.4060777195105553,TLS
Togo,Africa,Western Africa,1960,41.06,6.52,1580513,278575742,162.4,NA,4.5,0,>0%,56785,0.20519503389979749,TGO
Tonga,Oceania,Polynesia,1960,61.2,7.36,61600,5100,NA,NA,3.9,0,>35%,747,0.9103078982597055,TON
Trinidad and Tobago,Americas,Caribbean,1960,63.07,5.26,848481,2811586619,56.6,NA,3.2,81260,>60%,5128,1.6224648985959438,TTO
Tunisia,Africa,Northern Africa,1960,43.2,7.04,4176266,11400,173.4,NA,6.2,55050,>35%,163610,0.11868467697573498,TUN
Turkey,Asia,Western Asia,1960,46.91,6.3,27553280,44566050533,166,NA,2.9,47670,>35%,783562,0.492300545457794,TUR
Turkmenistan,Asia,Central Asia,1960,54.91,6.42,1593501,16400,NA,NA,NA,242900,>5%,488100,0.12004097520999796,TKM
Uganda,Africa,Eastern Africa,1960,45.27,7,6788211,2000,132.3,NA,3.3,0,>15%,241038,0.08297446875596379,UGA
Ukraine,Europe,Eastern Europe,1960,70.88,2.42,42662150,7500,NA,NA,6.2,40490,>35%,603550,0.28115980449010025,UKR
United Arab Emirates,Asia,Western Asia,1960,51.85,6.93,92612,67600,137.3,NA,NA,2820000,>60%,83600,0.04880382775119617,ARE
United Kingdom,Europe,Northern Europe,1960,71.02,2.69,52410496,525328308407,22.9,NA,6.2,787200,>60%,243610,1.619096096219367,GBR
United States,Americas,Northern America,1960,69.91,3.67,186176524,2479391093100,25.9,NA,5.4,8653000,>60%,9826675,0.6702786039021338,USA
Uruguay,Americas,South America,1960,67.95,2.88,2538651,10614613898,57.7,NA,4.5,0,>35%,176215,0.44112022245552307,URY
Uzbekistan,Asia,Central Asia,1960,59.35,6.71,8789492,6100,NA,NA,NA,64810,>35%,447400,0.19333035315154223,UZB
Vanuatu,Oceania,Melanesia,1960,45.97,7.2,63701,2500,106.7,NA,5,0,>5%,12189,0.08778406760193617,VUT
Venezuela,Americas,South America,1960,60.08,6.62,8146845,41118729573,59.9,NA,6.9,2500000,>35%,912050,0.10542733402773971,VEN
West Bank and Gaza,Asia,Western Asia,1960,50.82,7.69,1069399,NA,NA,NA,NA,NA,NA,360,NA,PSE
Vietnam,Asia,South-Eastern Asia,1960,58.52,6.35,32670623,6000,75.6,NA,6.3,298400,>35%,331210,0.6238730714652335,VNM
Yemen,Asia,Western Asia,1960,32.64,7.29,5166311,2700,225,NA,5.2,125100,>15%,527968,0.1350460633977817,YEM
Zambia,Africa,Eastern Africa,1960,48.34,7.02,3049586,1666817402,123.2,NA,1.3,0,>15%,752618,0.05375103970407298,ZMB
Zimbabwe,Africa,Eastern Africa,1960,53.11,7.16,3752390,1459732283,92.6,NA,2.5,0,>15%,390757,0.24891940515461014,ZWE
Albania,Europe,Southern Europe,1961,63.92,6.08,1685901,11900,110.8,NA,3.3,20510,>35%,28748,0.626130513427021,ALB
Algeria,Africa,Northern Africa,1961,48.02,7.65,11404859,11946771141,148.1,NA,4.3,1420000,>15%,2381741,0.047719294415303766,DZA
Angola,Africa,Middle Africa,1961,36.53,7.35,5367287,7300,NA,NA,3.5,1742000,>15%,1246700,0.0412521055586749,AGO
Antigua and Barbuda,Americas,Caribbean,1961,63.46,4.39,55403,23600,NA,NA,2.4,0,>60%,443,2.641083521444695,ATG
Argentina,Americas,South America,1961,65.53,3.1,20953079,114201892335,59.73,NA,6.3,532100,>35%,2780400,0.08321608401668824,ARG
Armenia,Asia,Western Asia,1961,67.33,4.51,1934239,8500,NA,NA,3.3,0,>35%,29743,0.2590525501798743,ARM
Aruba,Americas,Caribbean,1961,66.07,4.66,55435,25300,NA,NA,6,0,>60%,180,NA,ABW
Australia,Oceania,Australia and New Zealand,1961,71.14,3.55,10494911,98950410413,20,NA,5.6,354300,>60%,7741220,0.10634202360868183,AUS
Austria,Europe,Western Europe,1961,69.72,2.79,7105654,55294196572,35,NA,5.9,21760,>60%,83871,1.484517890570042,AUT
Azerbaijan,Asia,Western Asia,1961,61.76,5.6,4030130,18000,NA,NA,2.4,845900,>35%,86600,0.6113394919168591,AZE
Bahamas,Americas,Caribbean,1961,62.29,4.5,115108,1445610547,NA,NA,NA,0,>60%,13880,0.19452449567723343,BHS
Bahrain,Asia,Western Asia,1961,52.99,7.13,167924,50100,123.8,NA,2.6,49500,>60%,760,5.423684210526316,BHR
Bangladesh,Asia,Southern Asia,1961,46.73,6.76,49593610,13540691011,171.7,NA,2.2,4000,>5%,143998,0.14770344032556007,BGD
Barbados,Americas,Caribbean,1961,62.31,4.31,231674,844470434.1,65,NA,5.6,1000,>60%,430,3.7209302325581395,BRB
Belarus,Europe,Eastern Europe,1961,72.3,2.73,8274486,17700,NA,NA,5.1,30000,>35%,207600,0.41614643545279384,BLR
Belgium,Europe,Western Europe,1961,70.46,2.63,9200393,71634993490,28.1,NA,6.6,0,>60%,30528,5.0449423480083855,BEL
Belize,Americas,Central America,1961,60.64,6.48,94701,90765704,NA,NA,6.6,1818,>15%,22966,0.12496734302882521,BLZ
Benin,Africa,Western Africa,1961,38.8,6.34,2466002,641329522.6,183.9,NA,5.3,0,>0%,112622,0.14206815719841595,BEN
Bhutan,Asia,Southern Asia,1961,36.49,6.67,229297,8200,NA,NA,4.7,0,>15%,38394,0.27551179871854975,BTN
Bolivia,Americas,South America,1961,44.14,6.67,3764815,3064252968,170.5,NA,6.9,51130,>35%,1098581,0.07326542148462425,BOL
